,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
92,,T1133,External Remote Services,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
93,,T1137,Office Application Startup,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
94,,T1137.002,Office Test,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
95,,T1213,Data from Information Repositories,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
96,,T1213.001,Confluence,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
97,,T1213.002,Sharepoint,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
98,,T1219,Remote Access Software,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
99,,T1505.004,IIS Components,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
100,,T1530,Data from Cloud Storage Object,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
101,,T1537,Transfer Data to Cloud Account,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
102,,T1543,Create or Modify System Process,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
103,,T1547.003,Time Providers,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
104,,T1547.004,Winlogon Helper DLL,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
105,,T1547.009,Shortcut Modification,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
106,,T1547.011,Plist Modification,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
107,,T1547.012,Print Processors,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
108,,T1547.013,XDG Autostart Entries,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
109,,T1550.001,Application Access Token,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
110,,T1552,Unsecured Credentials,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
111,,T1552.002,Credentials in Registry,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
112,,T1552.004,Private Keys,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
113,,T1552.007,Container API,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
114,,T1557,Adversary-in-the-Middle,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
115,,T1557.002,ARP Cache Poisoning,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
116,,T1558,Steal or Forge Kerberos Tickets,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
117,,T1558.002,Silver Ticket,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
118,,T1558.003,Kerberoasting,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
119,,T1558.004,AS-REP Roasting,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
120,,T1563,Remote Service Session Hijacking,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
121,,T1563.001,SSH Hijacking,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
122,,T1563.002,RDP Hijacking,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
123,,T1565,Data Manipulation,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
124,,T1565.001,Stored Data Manipulation,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
125,,T1565.002,Transmitted Data Manipulation,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
126,,T1602,Data from Configuration Repository,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
127,,T1602.001,SNMP (MIB Dump),[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
128,,T1602.002,Network Device Configuration Dump,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
129,,T1609,Container Administration Command,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
130,,T1610,Deploy Container,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
131,,T1612,Build Image on Host,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
132,,T1613,Container and Resource Discovery,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
133,,T1619,Cloud Storage Object Discovery,[],Remote Access,AC-17,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
134,,T1011,Exfiltration Over Other Network Medium,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
135,,T1011.001,Exfiltration Over Bluetooth,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
136,,T1020.001,Traffic Duplication,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
137,,T1040,Network Sniffing,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
138,,T1070,Indicator Removal on Host,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
139,,T1070.001,Clear Windows Event Logs,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
140,,T1070.002,Clear Linux or Mac System Logs,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
141,,T1119,Automated Collection,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
142,,T1530,Data from Cloud Storage Object,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
143,,T1552,Unsecured Credentials,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
144,,T1552.004,Private Keys,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
145,,T1557,Adversary-in-the-Middle,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
146,,T1557.002,ARP Cache Poisoning,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
147,,T1558,Steal or Forge Kerberos Tickets,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
148,,T1558.002,Silver Ticket,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
149,,T1558.003,Kerberoasting,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
150,,T1558.004,AS-REP Roasting,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
151,,T1565,Data Manipulation,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
152,,T1565.001,Stored Data Manipulation,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
153,,T1565.002,Transmitted Data Manipulation,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
154,,T1602,Data from Configuration Repository,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
155,,T1602.001,SNMP (MIB Dump),[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
156,,T1602.002,Network Device Configuration Dump,[],Wireless Access,AC-18,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
157,,T1020.001,Traffic Duplication,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
158,,T1040,Network Sniffing,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
159,,T1070,Indicator Removal on Host,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
160,,T1070.001,Clear Windows Event Logs,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
161,,T1070.002,Clear Linux or Mac System Logs,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
162,,T1114,Email Collection,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
163,,T1114.001,Local Email Collection,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
164,,T1114.002,Remote Email Collection,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
165,,T1114.003,Email Forwarding Rule,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
166,,T1119,Automated Collection,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
167,,T1530,Data from Cloud Storage Object,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
168,,T1550.001,Application Access Token,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
169,,T1552,Unsecured Credentials,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
170,,T1552.004,Private Keys,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
171,,T1557,Adversary-in-the-Middle,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
172,,T1557.002,ARP Cache Poisoning,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
173,,T1558,Steal or Forge Kerberos Tickets,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
174,,T1558.002,Silver Ticket,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
175,,T1558.003,Kerberoasting,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
176,,T1558.004,AS-REP Roasting,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
177,,T1565,Data Manipulation,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
178,,T1565.001,Stored Data Manipulation,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
179,,T1565.002,Transmitted Data Manipulation,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
180,,T1602,Data from Configuration Repository,[],Access Control for Mobile Devices,AC-19,mitigates,AC,,02/03/2021,10/27/2021,10.1,enterprise,nist_800_53,r5
