,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,capability_group,status,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
30,,T1059.008,Command and Scripting Interpreter: Network Device CLI,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
31,,T1059.008,Command and Scripting Interpreter: Network Device CLI,[],Remote shell,action.hacking.vector.Command shell,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
32,,T1072,Software Deployment Tools,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
33,,T1072,Software Deployment Tools,[],"System or network utilities (e.g., PsTools, Netcat)",action.malware.variety.Adminware,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
34,,T1072,Software Deployment Tools,[],Included in automated software update,action.malware.vector.Software update,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
35,,T1106,Native API,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
36,,T1112,Modify Registry,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
37,,T1127,Trusted Developer Utilities Proxy Execution,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
38,,T1127,Trusted Developer Utilities Proxy Execution,[],Unknown,action.hacking.variety.Unknown,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
39,,T1127.001,Tursted Developer Utilities Proxy Execution: MSBuild,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
40,,T1127.001,Tursted Developer Utilities Proxy Execution: MSBuild,[],Unknown,action.hacking.variety.Unknown,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
41,,T1129,Shared Modules,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
42,,T1137,Office Application Startup,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
43,,T1137,Office Application Startup,[],Backdoor or command and control channel,action.hacking.vector.Backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
44,,T1137.001,Office Application Startup: Office Template Macros,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
45,,T1137.002,Office Application Startup: Office Test,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
46,,T1137.003,Office Application Startup: Outlook Forms,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
47,,T1137.004,Office Application Startup: Outlook Home Page,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
48,,T1137.005,Office Application Startup: Outlook Rules,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
49,,T1187,Forced Authentication,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
50,,T1187,Forced Authentication,[],Man-in-the-middle attack. Child of 'Exploit vuln'.,action.hacking.variety.MitM,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
51,,T1202,Indirect Command Execution,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
52,,T1216,Signed Script Proxy Execution,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
53,,T1216.001,Signed Script Proxy Execution: PubPrn,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
54,,T1218,Signed Binary Proxy Execution,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
55,,T1218.001,Signed Binary Proxy Execution: Compiled HTML File,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
56,,T1218.002,Signed Binary Proxy Execution: Control Panel,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
57,,T1218.003,Signed Binary Proxy Execution: CMSTP,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
58,,T1218.004,Signed Binary Proxy Execution: InstallUtil,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
59,,T1218.005,Signed Binary Proxy Execution: Mshta,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
60,,T1218.007,Signed Binary Proxy Execution: Msiexec,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
61,,T1218.008,Signed Binary Proxy Execution: Odbcconf,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
62,,T1218.009,Signed Binary Proxy Execution: Regsvcs/Regasm,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
63,,T1218.010,Signed Binary Proxy Execution: Regsvr32,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
64,,T1218.011,Signed Binary Proxy Execution: Rundll32,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
65,,T1218.012,Signed Binary Proxy Execution: Verclsid,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
66,,T1220,XSL Script Processing,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
67,,T1505.001,Server Software Component: SQL Stored Procedures,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
68,,T1505.001,Server Software Component: SQL Stored Procedures,[],Use of Backdoor or C2 channel,action.hacking.variety.Use of backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
69,,T1505.001,Server Software Component: SQL Stored Procedures,[],Backdoor or command and control channel,action.hacking.vector.Backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
70,,T1505.001,Server Software Component: SQL Stored Procedures,[],Backdoor (enable remote access). Child of 'RAT' when combined with 'Trojan',action.malware.variety.Backdoor,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
71,,T1505.002,Server Software Component: Transport Agent,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
72,,T1505.002,Server Software Component: Transport Agent,[],Use of Backdoor or C2 channel,action.hacking.variety.Use of backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
73,,T1505.002,Server Software Component: Transport Agent,[],Backdoor or command and control channel,action.hacking.vector.Backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
74,,T1505.002,Server Software Component: Transport Agent,[],Backdoor (enable remote access). Child of 'RAT' when combined with 'Trojan',action.malware.variety.Backdoor,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
75,,T1529,System Shutdown/Reboot,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
76,,T1543,Create or Modify System Process,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
77,,T1543,Create or Modify System Process,[],Use of Backdoor or C2 channel,action.hacking.variety.Use of backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
78,,T1543,Create or Modify System Process,[],Backdoor or command and control channel,action.hacking.vector.Backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
79,,T1543,Create or Modify System Process,[],Backdoor (enable remote access). Child of 'RAT' when combined with 'Trojan',action.malware.variety.Backdoor,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
80,,T1543,Create or Modify System Process,[],Rootkit (maintain local privileges and stealth),action.malware.variety.Rootkit,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
81,,T1543.001,Create or Modify System Process: Launch Agent,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
82,,T1543.002,Create or Modify System Process: Systemd Service,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
83,,T1543.003,Create or Modify System Process: Windows Service,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
84,,T1543.003,Create or Modify System Process: Windows Service,[],Remote Access Trojan.  Parent of 'Backdoor' and 'Trojan',action.malware.variety.RAT,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
85,,T1543.004,Create or Modify System Process: Launch Daemon,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
86,,T1547,Boot or Logon Autostart Execution,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
87,,T1547,Boot or Logon Autostart Execution,[],Backdoor or command and control channel,action.hacking.vector.Backdoor or C2,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
88,,T1547,Boot or Logon Autostart Execution,[],Backdoor (enable remote access). Child of 'RAT' when combined with 'Trojan',action.malware.variety.Backdoor,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
89,,T1547,Boot or Logon Autostart Execution,[],Modified configuration or services,attribute.integrity.variety.Modify configuration,related-to,attribute.integrity,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
90,,T1548,Abuse Elevation Control Mechanism,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
91,,T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
92,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
93,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],Exploit a misconfiguration (vs vuln or weakness),action.hacking.variety.Exploit misconfig,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
94,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],Exploit a misconfiguration (vs vuln or weakness),action.malware.variety.Exploit misconfig,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
95,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
96,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],Exploit a misconfiguration (vs vuln or weakness),action.hacking.variety.Exploit misconfig,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
97,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],"Client-side or browser attack (e.g., redirection, XSS, MitB)",action.malware.variety.Client-side attack,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
98,,T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
99,,T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,[],Exploit a misconfiguration (vs vuln or weakness),action.hacking.variety.Exploit misconfig,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
100,,T1559,Inter-Process Communication,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
101,,T1559.001,Inter-Process Communication: Component Object Model,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
102,,T1559.002,Inter-Process Communication: Dynamic Data Exchange,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
103,,T1563,Remote Service Session Hijacking,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
104,,T1563,Remote Service Session Hijacking,[],Network propagation,action.malware.vector.Network propagation,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
105,,T1563.001,Remote Service Session Hijacking: SSH Hijacking,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
106,,T1563.001,Remote Service Session Hijacking: SSH Hijacking,[],Network propagation,action.malware.vector.Network propagation,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
107,,T1563.002,Remote Service Session Hijacking: RDP Hijacking,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
108,,T1563.002,Remote Service Session Hijacking: RDP Hijacking,[],Network propagation,action.malware.vector.Network propagation,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
109,,T1564,Hide Artifacts,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
110,,T1564.001,Hide Artifacts: Hidden Files and Directories,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
111,,T1564.002,Hide Artifacts: Hidden Users,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
112,,T1564.003,Hide Artifacts: Hidden Window,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
113,,T1564.004,Hide Artifacts: NTFS File Attributes,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
114,,T1564.005,Hide Artifacts: Hidden File System,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
115,,T1564.006,Hide Artifacts: Run Virtual Instance,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
116,,T1564.007,Hide Artifacts: VBA Stomping,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
117,,T1564.007,Hide Artifacts: VBA Stomping,[],An application which appears legitimate but hides malicious functionality. Child of 'RAT' when combined with 'Backdoor',action.malware.variety.Trojan,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
118,,T1569,System Services,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
119,,T1569.001,System Services: Launchctl,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
120,,T1569.002,System Services: Service Execution,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
121,,T1569.002,System Services: Service Execution,[],Directly installed or inserted by threat agent (after system access),action.malware.vector.Direct install,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
122,,T1578,Modify Cloud Computer Infrastructure,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
123,,T1578,Modify Cloud Computer Infrastructure,[],Hypervisor break-out attack,action.hacking.vector.Hypervisor,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
124,,T1578,Modify Cloud Computer Infrastructure,[],Penetration of another VM or web site on shared device or infrastructure,action.hacking.vector.Inter-tenant,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
125,,T1578.001,Modify Cloud Computer Infrastructure: Create Snapshot,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
126,,T1578.002,Modify Cloud Computer Infrastructure: Create Cloud Instance,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
127,,T1578.003,Modify Cloud Computer Infrastructure: Delete Cloud Instance,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
128,,T1578.004,Modify Cloud Computer Infrastructure: Revert Cloud Instance,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
129,,T1609,Container Administration Command,[],Abuse of functionality,action.hacking.variety.Abuse of functionality,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
130,,T1110,Brute Force,[],Brute force or password guessing attacks,action.hacking.variety.Brute force,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
131,,T1110,Brute Force,[],Brute force attack,action.malware.variety.Brute force,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
132,,T1110.001,Brute Force: Password Guessing,[],Brute force or password guessing attacks,action.hacking.variety.Brute force,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
133,,T1110.001,Brute Force: Password Guessing,[],Brute force attack,action.malware.variety.Brute force,related-to,action.malware,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
134,,T1110.002,Brute Force: Password Cracking,[],Brute force or password guessing attacks,action.hacking.variety.Brute force,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
135,,T1110.002,Brute Force: Password Cracking,[],"Offline password or key cracking (e.g., rainbow tables, Hashcat, JtR)",action.hacking.variety.Offline cracking,related-to,action.hacking,complete,,08/26/2021,08/26/2021,9.0,enterprise,veris,1.3.5
