,name,control-name,mapping-type,attack-object-key
42,NIST Security controls,Security and Privacy Attributes,mitigates,42
43,NIST Security controls,Security and Privacy Attributes,mitigates,43
44,NIST Security controls,Security and Privacy Attributes,mitigates,44
45,NIST Security controls,Security and Privacy Attributes,mitigates,45
46,NIST Security controls,Security and Privacy Attributes,mitigates,46
47,NIST Security controls,Security and Privacy Attributes,mitigates,47
48,NIST Security controls,Security and Privacy Attributes,mitigates,48
49,NIST Security controls,Security and Privacy Attributes,mitigates,49
50,NIST Security controls,Remote Access,mitigates,50
51,NIST Security controls,Remote Access,mitigates,51
52,NIST Security controls,Remote Access,mitigates,52
53,NIST Security controls,Remote Access,mitigates,53
54,NIST Security controls,Remote Access,mitigates,54
55,NIST Security controls,Remote Access,mitigates,55
56,NIST Security controls,Remote Access,mitigates,56
57,NIST Security controls,Remote Access,mitigates,57
58,NIST Security controls,Remote Access,mitigates,58
59,NIST Security controls,Remote Access,mitigates,59
60,NIST Security controls,Remote Access,mitigates,60
61,NIST Security controls,Remote Access,mitigates,61
62,NIST Security controls,Remote Access,mitigates,62
63,NIST Security controls,Remote Access,mitigates,63
64,NIST Security controls,Remote Access,mitigates,64
65,NIST Security controls,Remote Access,mitigates,65
66,NIST Security controls,Remote Access,mitigates,66
67,NIST Security controls,Remote Access,mitigates,67
68,NIST Security controls,Remote Access,mitigates,68
69,NIST Security controls,Remote Access,mitigates,69
70,NIST Security controls,Remote Access,mitigates,70
71,NIST Security controls,Remote Access,mitigates,71
72,NIST Security controls,Remote Access,mitigates,72
73,NIST Security controls,Remote Access,mitigates,73
74,NIST Security controls,Remote Access,mitigates,74
75,NIST Security controls,Remote Access,mitigates,75
76,NIST Security controls,Remote Access,mitigates,76
77,NIST Security controls,Remote Access,mitigates,77
78,NIST Security controls,Remote Access,mitigates,78
79,NIST Security controls,Remote Access,mitigates,79
80,NIST Security controls,Remote Access,mitigates,80
81,NIST Security controls,Remote Access,mitigates,81
82,NIST Security controls,Remote Access,mitigates,82
83,NIST Security controls,Remote Access,mitigates,83
84,NIST Security controls,Remote Access,mitigates,84
85,NIST Security controls,Remote Access,mitigates,85
86,NIST Security controls,Remote Access,mitigates,86
87,NIST Security controls,Remote Access,mitigates,87
88,NIST Security controls,Remote Access,mitigates,88
89,NIST Security controls,Remote Access,mitigates,89
90,NIST Security controls,Remote Access,mitigates,90
91,NIST Security controls,Remote Access,mitigates,91
92,NIST Security controls,Remote Access,mitigates,92
93,NIST Security controls,Remote Access,mitigates,93
94,NIST Security controls,Remote Access,mitigates,94
95,NIST Security controls,Remote Access,mitigates,95
96,NIST Security controls,Remote Access,mitigates,96
97,NIST Security controls,Remote Access,mitigates,97
98,NIST Security controls,Remote Access,mitigates,98
99,NIST Security controls,Wireless Access,mitigates,99
100,NIST Security controls,Wireless Access,mitigates,100
101,NIST Security controls,Wireless Access,mitigates,101
102,NIST Security controls,Wireless Access,mitigates,102
103,NIST Security controls,Wireless Access,mitigates,103
104,NIST Security controls,Wireless Access,mitigates,104
105,NIST Security controls,Wireless Access,mitigates,105
106,NIST Security controls,Wireless Access,mitigates,106
107,NIST Security controls,Wireless Access,mitigates,107
108,NIST Security controls,Wireless Access,mitigates,108
109,NIST Security controls,Wireless Access,mitigates,109
110,NIST Security controls,Wireless Access,mitigates,110
111,NIST Security controls,Wireless Access,mitigates,111
112,NIST Security controls,Wireless Access,mitigates,112
113,NIST Security controls,Wireless Access,mitigates,113
114,NIST Security controls,Wireless Access,mitigates,114
115,NIST Security controls,Wireless Access,mitigates,115
116,NIST Security controls,Wireless Access,mitigates,116
117,NIST Security controls,Wireless Access,mitigates,117
118,NIST Security controls,Wireless Access,mitigates,118
119,NIST Security controls,Wireless Access,mitigates,119
120,NIST Security controls,Wireless Access,mitigates,120
121,NIST Security controls,Wireless Access,mitigates,121
122,NIST Security controls,Access Control for Mobile Devices,mitigates,122
123,NIST Security controls,Access Control for Mobile Devices,mitigates,123
124,NIST Security controls,Access Control for Mobile Devices,mitigates,124
125,NIST Security controls,Access Control for Mobile Devices,mitigates,125
126,NIST Security controls,Access Control for Mobile Devices,mitigates,126
127,NIST Security controls,Access Control for Mobile Devices,mitigates,127
128,NIST Security controls,Access Control for Mobile Devices,mitigates,128
129,NIST Security controls,Access Control for Mobile Devices,mitigates,129
130,NIST Security controls,Access Control for Mobile Devices,mitigates,130
131,NIST Security controls,Access Control for Mobile Devices,mitigates,131
132,NIST Security controls,Access Control for Mobile Devices,mitigates,132
133,NIST Security controls,Access Control for Mobile Devices,mitigates,133
134,NIST Security controls,Access Control for Mobile Devices,mitigates,134
135,NIST Security controls,Access Control for Mobile Devices,mitigates,135
136,NIST Security controls,Access Control for Mobile Devices,mitigates,136
137,NIST Security controls,Access Control for Mobile Devices,mitigates,137
138,NIST Security controls,Access Control for Mobile Devices,mitigates,138
139,NIST Security controls,Access Control for Mobile Devices,mitigates,139
140,NIST Security controls,Access Control for Mobile Devices,mitigates,140
141,NIST Security controls,Access Control for Mobile Devices,mitigates,141
142,NIST Security controls,Access Control for Mobile Devices,mitigates,142
143,NIST Security controls,Access Control for Mobile Devices,mitigates,143
144,NIST Security controls,Access Control for Mobile Devices,mitigates,144
145,NIST Security controls,Access Control for Mobile Devices,mitigates,145
146,NIST Security controls,Access Control for Mobile Devices,mitigates,146
147,NIST Security controls,Access Control for Mobile Devices,mitigates,147
148,NIST Security controls,Account Management,mitigates,148
149,NIST Security controls,Account Management,mitigates,149
150,NIST Security controls,Account Management,mitigates,150
151,NIST Security controls,Account Management,mitigates,151
152,NIST Security controls,Account Management,mitigates,152
153,NIST Security controls,Account Management,mitigates,153
154,NIST Security controls,Account Management,mitigates,154
155,NIST Security controls,Account Management,mitigates,155
156,NIST Security controls,Account Management,mitigates,156
157,NIST Security controls,Account Management,mitigates,157
158,NIST Security controls,Account Management,mitigates,158
159,NIST Security controls,Account Management,mitigates,159
160,NIST Security controls,Account Management,mitigates,160
161,NIST Security controls,Account Management,mitigates,161
162,NIST Security controls,Account Management,mitigates,162
163,NIST Security controls,Account Management,mitigates,163
164,NIST Security controls,Account Management,mitigates,164
165,NIST Security controls,Account Management,mitigates,165
166,NIST Security controls,Account Management,mitigates,166
167,NIST Security controls,Account Management,mitigates,167
168,NIST Security controls,Account Management,mitigates,168
169,NIST Security controls,Account Management,mitigates,169
170,NIST Security controls,Account Management,mitigates,170
171,NIST Security controls,Account Management,mitigates,171
172,NIST Security controls,Account Management,mitigates,172
173,NIST Security controls,Account Management,mitigates,173
174,NIST Security controls,Account Management,mitigates,174
175,NIST Security controls,Account Management,mitigates,175
176,NIST Security controls,Account Management,mitigates,176
177,NIST Security controls,Account Management,mitigates,177
178,NIST Security controls,Account Management,mitigates,178
179,NIST Security controls,Account Management,mitigates,179
180,NIST Security controls,Account Management,mitigates,180
181,NIST Security controls,Account Management,mitigates,181
182,NIST Security controls,Account Management,mitigates,182
183,NIST Security controls,Account Management,mitigates,183
184,NIST Security controls,Account Management,mitigates,184
185,NIST Security controls,Account Management,mitigates,185
186,NIST Security controls,Account Management,mitigates,186
187,NIST Security controls,Account Management,mitigates,187
188,NIST Security controls,Account Management,mitigates,188
189,NIST Security controls,Account Management,mitigates,189
190,NIST Security controls,Account Management,mitigates,190
191,NIST Security controls,Account Management,mitigates,191
192,NIST Security controls,Account Management,mitigates,192
193,NIST Security controls,Account Management,mitigates,193
194,NIST Security controls,Account Management,mitigates,194
195,NIST Security controls,Account Management,mitigates,195
196,NIST Security controls,Account Management,mitigates,196
197,NIST Security controls,Account Management,mitigates,197
198,NIST Security controls,Account Management,mitigates,198
199,NIST Security controls,Account Management,mitigates,199
200,NIST Security controls,Account Management,mitigates,200
201,NIST Security controls,Account Management,mitigates,201
202,NIST Security controls,Account Management,mitigates,202
203,NIST Security controls,Account Management,mitigates,203
204,NIST Security controls,Account Management,mitigates,204
205,NIST Security controls,Account Management,mitigates,205
206,NIST Security controls,Account Management,mitigates,206
207,NIST Security controls,Account Management,mitigates,207
208,NIST Security controls,Account Management,mitigates,208
209,NIST Security controls,Account Management,mitigates,209
210,NIST Security controls,Account Management,mitigates,210
211,NIST Security controls,Account Management,mitigates,211
212,NIST Security controls,Account Management,mitigates,212
213,NIST Security controls,Account Management,mitigates,213
214,NIST Security controls,Account Management,mitigates,214
215,NIST Security controls,Account Management,mitigates,215
216,NIST Security controls,Account Management,mitigates,216
217,NIST Security controls,Account Management,mitigates,217
218,NIST Security controls,Account Management,mitigates,218
219,NIST Security controls,Account Management,mitigates,219
220,NIST Security controls,Account Management,mitigates,220
221,NIST Security controls,Account Management,mitigates,221
222,NIST Security controls,Account Management,mitigates,222
223,NIST Security controls,Account Management,mitigates,223
224,NIST Security controls,Account Management,mitigates,224
225,NIST Security controls,Account Management,mitigates,225
226,NIST Security controls,Account Management,mitigates,226
227,NIST Security controls,Account Management,mitigates,227
228,NIST Security controls,Account Management,mitigates,228
229,NIST Security controls,Account Management,mitigates,229
230,NIST Security controls,Account Management,mitigates,230
231,NIST Security controls,Account Management,mitigates,231
232,NIST Security controls,Account Management,mitigates,232
233,NIST Security controls,Account Management,mitigates,233
234,NIST Security controls,Account Management,mitigates,234
235,NIST Security controls,Account Management,mitigates,235
236,NIST Security controls,Account Management,mitigates,236
237,NIST Security controls,Account Management,mitigates,237
238,NIST Security controls,Account Management,mitigates,238
239,NIST Security controls,Account Management,mitigates,239
240,NIST Security controls,Account Management,mitigates,240
241,NIST Security controls,Account Management,mitigates,241
242,NIST Security controls,Account Management,mitigates,242
243,NIST Security controls,Account Management,mitigates,243
244,NIST Security controls,Account Management,mitigates,244
245,NIST Security controls,Account Management,mitigates,245
246,NIST Security controls,Account Management,mitigates,246
247,NIST Security controls,Account Management,mitigates,247
248,NIST Security controls,Account Management,mitigates,248
249,NIST Security controls,Account Management,mitigates,249
250,NIST Security controls,Account Management,mitigates,250
251,NIST Security controls,Account Management,mitigates,251
252,NIST Security controls,Account Management,mitigates,252
253,NIST Security controls,Account Management,mitigates,253
254,NIST Security controls,Account Management,mitigates,254
255,NIST Security controls,Account Management,mitigates,255
256,NIST Security controls,Account Management,mitigates,256
257,NIST Security controls,Account Management,mitigates,257
258,NIST Security controls,Account Management,mitigates,258
259,NIST Security controls,Account Management,mitigates,259
260,NIST Security controls,Account Management,mitigates,260
261,NIST Security controls,Account Management,mitigates,261
262,NIST Security controls,Account Management,mitigates,262
263,NIST Security controls,Account Management,mitigates,263
264,NIST Security controls,Account Management,mitigates,264
265,NIST Security controls,Account Management,mitigates,265
266,NIST Security controls,Account Management,mitigates,266
267,NIST Security controls,Account Management,mitigates,267
268,NIST Security controls,Account Management,mitigates,268
269,NIST Security controls,Account Management,mitigates,269
270,NIST Security controls,Account Management,mitigates,270
271,NIST Security controls,Account Management,mitigates,271
272,NIST Security controls,Account Management,mitigates,272
273,NIST Security controls,Account Management,mitigates,273
274,NIST Security controls,Account Management,mitigates,274
275,NIST Security controls,Account Management,mitigates,275
276,NIST Security controls,Account Management,mitigates,276
277,NIST Security controls,Account Management,mitigates,277
278,NIST Security controls,Account Management,mitigates,278
279,NIST Security controls,Account Management,mitigates,279
280,NIST Security controls,Account Management,mitigates,280
281,NIST Security controls,Account Management,mitigates,281
282,NIST Security controls,Account Management,mitigates,282
283,NIST Security controls,Account Management,mitigates,283
284,NIST Security controls,Account Management,mitigates,284
285,NIST Security controls,Account Management,mitigates,285
286,NIST Security controls,Account Management,mitigates,286
287,NIST Security controls,Account Management,mitigates,287
288,NIST Security controls,Account Management,mitigates,288
289,NIST Security controls,Account Management,mitigates,289
290,NIST Security controls,Account Management,mitigates,290
291,NIST Security controls,Account Management,mitigates,291
292,NIST Security controls,Account Management,mitigates,292
293,NIST Security controls,Account Management,mitigates,293
294,NIST Security controls,Account Management,mitigates,294
295,NIST Security controls,Account Management,mitigates,295
296,NIST Security controls,Account Management,mitigates,296
297,NIST Security controls,Account Management,mitigates,297
298,NIST Security controls,Account Management,mitigates,298
299,NIST Security controls,Account Management,mitigates,299
300,NIST Security controls,Account Management,mitigates,300
301,NIST Security controls,Account Management,mitigates,301
302,NIST Security controls,Account Management,mitigates,302
303,NIST Security controls,Account Management,mitigates,303
304,NIST Security controls,Account Management,mitigates,304
305,NIST Security controls,Use of External Systems,mitigates,305
306,NIST Security controls,Use of External Systems,mitigates,306
307,NIST Security controls,Use of External Systems,mitigates,307
308,NIST Security controls,Use of External Systems,mitigates,308
309,NIST Security controls,Use of External Systems,mitigates,309
310,NIST Security controls,Use of External Systems,mitigates,310
311,NIST Security controls,Use of External Systems,mitigates,311
312,NIST Security controls,Use of External Systems,mitigates,312
313,NIST Security controls,Use of External Systems,mitigates,313
314,NIST Security controls,Use of External Systems,mitigates,314
315,NIST Security controls,Use of External Systems,mitigates,315
316,NIST Security controls,Use of External Systems,mitigates,316
317,NIST Security controls,Use of External Systems,mitigates,317
318,NIST Security controls,Use of External Systems,mitigates,318
319,NIST Security controls,Use of External Systems,mitigates,319
320,NIST Security controls,Use of External Systems,mitigates,320
321,NIST Security controls,Use of External Systems,mitigates,321
322,NIST Security controls,Use of External Systems,mitigates,322
323,NIST Security controls,Use of External Systems,mitigates,323
324,NIST Security controls,Use of External Systems,mitigates,324
325,NIST Security controls,Use of External Systems,mitigates,325
326,NIST Security controls,Use of External Systems,mitigates,326
327,NIST Security controls,Use of External Systems,mitigates,327
328,NIST Security controls,Use of External Systems,mitigates,328
329,NIST Security controls,Use of External Systems,mitigates,329
330,NIST Security controls,Use of External Systems,mitigates,330
331,NIST Security controls,Use of External Systems,mitigates,331
332,NIST Security controls,Use of External Systems,mitigates,332
333,NIST Security controls,Use of External Systems,mitigates,333
334,NIST Security controls,Use of External Systems,mitigates,334
335,NIST Security controls,Use of External Systems,mitigates,335
336,NIST Security controls,Use of External Systems,mitigates,336
337,NIST Security controls,Use of External Systems,mitigates,337
338,NIST Security controls,Use of External Systems,mitigates,338
339,NIST Security controls,Use of External Systems,mitigates,339
340,NIST Security controls,Use of External Systems,mitigates,340
341,NIST Security controls,Use of External Systems,mitigates,341
342,NIST Security controls,Use of External Systems,mitigates,342
343,NIST Security controls,Use of External Systems,mitigates,343
344,NIST Security controls,Use of External Systems,mitigates,344
345,NIST Security controls,Use of External Systems,mitigates,345
346,NIST Security controls,Use of External Systems,mitigates,346
347,NIST Security controls,Use of External Systems,mitigates,347
348,NIST Security controls,Use of External Systems,mitigates,348
349,NIST Security controls,Use of External Systems,mitigates,349
350,NIST Security controls,Use of External Systems,mitigates,350
351,NIST Security controls,Use of External Systems,mitigates,351
352,NIST Security controls,Use of External Systems,mitigates,352
353,NIST Security controls,Use of External Systems,mitigates,353
354,NIST Security controls,Information Sharing,mitigates,354
355,NIST Security controls,Information Sharing,mitigates,355
356,NIST Security controls,Information Sharing,mitigates,356
357,NIST Security controls,Data Mining Protection,mitigates,357
358,NIST Security controls,Data Mining Protection,mitigates,358
359,NIST Security controls,Data Mining Protection,mitigates,359
360,NIST Security controls,Data Mining Protection,mitigates,360
361,NIST Security controls,Access Enforcement,mitigates,361
362,NIST Security controls,Access Enforcement,mitigates,362
363,NIST Security controls,Access Enforcement,mitigates,363
364,NIST Security controls,Access Enforcement,mitigates,364
365,NIST Security controls,Access Enforcement,mitigates,365
366,NIST Security controls,Access Enforcement,mitigates,366
367,NIST Security controls,Access Enforcement,mitigates,367
368,NIST Security controls,Access Enforcement,mitigates,368
369,NIST Security controls,Access Enforcement,mitigates,369
370,NIST Security controls,Access Enforcement,mitigates,370
371,NIST Security controls,Access Enforcement,mitigates,371
372,NIST Security controls,Access Enforcement,mitigates,372
373,NIST Security controls,Access Enforcement,mitigates,373
374,NIST Security controls,Access Enforcement,mitigates,374
375,NIST Security controls,Access Enforcement,mitigates,375
376,NIST Security controls,Access Enforcement,mitigates,376
377,NIST Security controls,Access Enforcement,mitigates,377
378,NIST Security controls,Access Enforcement,mitigates,378
379,NIST Security controls,Access Enforcement,mitigates,379
380,NIST Security controls,Access Enforcement,mitigates,380
381,NIST Security controls,Access Enforcement,mitigates,381
382,NIST Security controls,Access Enforcement,mitigates,382
383,NIST Security controls,Access Enforcement,mitigates,383
384,NIST Security controls,Access Enforcement,mitigates,384
385,NIST Security controls,Access Enforcement,mitigates,385
386,NIST Security controls,Access Enforcement,mitigates,386
387,NIST Security controls,Access Enforcement,mitigates,387
388,NIST Security controls,Access Enforcement,mitigates,388
389,NIST Security controls,Access Enforcement,mitigates,389
390,NIST Security controls,Access Enforcement,mitigates,390
391,NIST Security controls,Access Enforcement,mitigates,391
392,NIST Security controls,Access Enforcement,mitigates,392
393,NIST Security controls,Access Enforcement,mitigates,393
394,NIST Security controls,Access Enforcement,mitigates,394
395,NIST Security controls,Access Enforcement,mitigates,395
396,NIST Security controls,Access Enforcement,mitigates,396
397,NIST Security controls,Access Enforcement,mitigates,397
398,NIST Security controls,Access Enforcement,mitigates,398
399,NIST Security controls,Access Enforcement,mitigates,399
400,NIST Security controls,Access Enforcement,mitigates,400
401,NIST Security controls,Access Enforcement,mitigates,401
402,NIST Security controls,Access Enforcement,mitigates,402
403,NIST Security controls,Access Enforcement,mitigates,403
404,NIST Security controls,Access Enforcement,mitigates,404
405,NIST Security controls,Access Enforcement,mitigates,405
406,NIST Security controls,Access Enforcement,mitigates,406
407,NIST Security controls,Access Enforcement,mitigates,407
408,NIST Security controls,Access Enforcement,mitigates,408
409,NIST Security controls,Access Enforcement,mitigates,409
410,NIST Security controls,Access Enforcement,mitigates,410
411,NIST Security controls,Access Enforcement,mitigates,411
412,NIST Security controls,Access Enforcement,mitigates,412
413,NIST Security controls,Access Enforcement,mitigates,413
414,NIST Security controls,Access Enforcement,mitigates,414
415,NIST Security controls,Access Enforcement,mitigates,415
416,NIST Security controls,Access Enforcement,mitigates,416
417,NIST Security controls,Access Enforcement,mitigates,417
418,NIST Security controls,Access Enforcement,mitigates,418
419,NIST Security controls,Access Enforcement,mitigates,419
420,NIST Security controls,Access Enforcement,mitigates,420
421,NIST Security controls,Access Enforcement,mitigates,421
422,NIST Security controls,Access Enforcement,mitigates,422
423,NIST Security controls,Access Enforcement,mitigates,423
424,NIST Security controls,Access Enforcement,mitigates,424
425,NIST Security controls,Access Enforcement,mitigates,425
426,NIST Security controls,Access Enforcement,mitigates,426
427,NIST Security controls,Access Enforcement,mitigates,427
428,NIST Security controls,Access Enforcement,mitigates,428
429,NIST Security controls,Access Enforcement,mitigates,429
430,NIST Security controls,Access Enforcement,mitigates,430
431,NIST Security controls,Access Enforcement,mitigates,431
432,NIST Security controls,Access Enforcement,mitigates,432
433,NIST Security controls,Access Enforcement,mitigates,433
434,NIST Security controls,Access Enforcement,mitigates,434
435,NIST Security controls,Access Enforcement,mitigates,435
436,NIST Security controls,Access Enforcement,mitigates,436
437,NIST Security controls,Access Enforcement,mitigates,437
438,NIST Security controls,Access Enforcement,mitigates,438
439,NIST Security controls,Access Enforcement,mitigates,439
440,NIST Security controls,Access Enforcement,mitigates,440
441,NIST Security controls,Access Enforcement,mitigates,441
442,NIST Security controls,Access Enforcement,mitigates,442
443,NIST Security controls,Access Enforcement,mitigates,443
444,NIST Security controls,Access Enforcement,mitigates,444
445,NIST Security controls,Access Enforcement,mitigates,445
446,NIST Security controls,Access Enforcement,mitigates,446
447,NIST Security controls,Access Enforcement,mitigates,447
448,NIST Security controls,Access Enforcement,mitigates,448
449,NIST Security controls,Access Enforcement,mitigates,449
450,NIST Security controls,Access Enforcement,mitigates,450
451,NIST Security controls,Access Enforcement,mitigates,451
452,NIST Security controls,Access Enforcement,mitigates,452
453,NIST Security controls,Access Enforcement,mitigates,453
454,NIST Security controls,Access Enforcement,mitigates,454
455,NIST Security controls,Access Enforcement,mitigates,455
456,NIST Security controls,Access Enforcement,mitigates,456
457,NIST Security controls,Access Enforcement,mitigates,457
458,NIST Security controls,Access Enforcement,mitigates,458
459,NIST Security controls,Access Enforcement,mitigates,459
460,NIST Security controls,Access Enforcement,mitigates,460
461,NIST Security controls,Access Enforcement,mitigates,461
462,NIST Security controls,Access Enforcement,mitigates,462
463,NIST Security controls,Access Enforcement,mitigates,463
464,NIST Security controls,Access Enforcement,mitigates,464
465,NIST Security controls,Access Enforcement,mitigates,465
466,NIST Security controls,Access Enforcement,mitigates,466
467,NIST Security controls,Access Enforcement,mitigates,467
468,NIST Security controls,Access Enforcement,mitigates,468
469,NIST Security controls,Access Enforcement,mitigates,469
470,NIST Security controls,Access Enforcement,mitigates,470
471,NIST Security controls,Access Enforcement,mitigates,471
472,NIST Security controls,Access Enforcement,mitigates,472
473,NIST Security controls,Access Enforcement,mitigates,473
474,NIST Security controls,Access Enforcement,mitigates,474
475,NIST Security controls,Access Enforcement,mitigates,475
476,NIST Security controls,Access Enforcement,mitigates,476
477,NIST Security controls,Access Enforcement,mitigates,477
478,NIST Security controls,Access Enforcement,mitigates,478
479,NIST Security controls,Access Enforcement,mitigates,479
480,NIST Security controls,Access Enforcement,mitigates,480
481,NIST Security controls,Access Enforcement,mitigates,481
482,NIST Security controls,Access Enforcement,mitigates,482
483,NIST Security controls,Access Enforcement,mitigates,483
484,NIST Security controls,Access Enforcement,mitigates,484
485,NIST Security controls,Access Enforcement,mitigates,485
486,NIST Security controls,Access Enforcement,mitigates,486
487,NIST Security controls,Access Enforcement,mitigates,487
488,NIST Security controls,Access Enforcement,mitigates,488
489,NIST Security controls,Access Enforcement,mitigates,489
490,NIST Security controls,Access Enforcement,mitigates,490
491,NIST Security controls,Access Enforcement,mitigates,491
492,NIST Security controls,Access Enforcement,mitigates,492
493,NIST Security controls,Access Enforcement,mitigates,493
494,NIST Security controls,Access Enforcement,mitigates,494
495,NIST Security controls,Access Enforcement,mitigates,495
496,NIST Security controls,Access Enforcement,mitigates,496
497,NIST Security controls,Access Enforcement,mitigates,497
498,NIST Security controls,Access Enforcement,mitigates,498
499,NIST Security controls,Access Enforcement,mitigates,499
500,NIST Security controls,Access Enforcement,mitigates,500
501,NIST Security controls,Access Enforcement,mitigates,501
502,NIST Security controls,Access Enforcement,mitigates,502
503,NIST Security controls,Access Enforcement,mitigates,503
504,NIST Security controls,Access Enforcement,mitigates,504
505,NIST Security controls,Access Enforcement,mitigates,505
506,NIST Security controls,Access Enforcement,mitigates,506
507,NIST Security controls,Access Enforcement,mitigates,507
508,NIST Security controls,Access Enforcement,mitigates,508
509,NIST Security controls,Access Enforcement,mitigates,509
510,NIST Security controls,Access Enforcement,mitigates,510
511,NIST Security controls,Access Enforcement,mitigates,511
512,NIST Security controls,Access Enforcement,mitigates,512
513,NIST Security controls,Access Enforcement,mitigates,513
514,NIST Security controls,Access Enforcement,mitigates,514
515,NIST Security controls,Access Enforcement,mitigates,515
516,NIST Security controls,Access Enforcement,mitigates,516
517,NIST Security controls,Access Enforcement,mitigates,517
518,NIST Security controls,Access Enforcement,mitigates,518
519,NIST Security controls,Access Enforcement,mitigates,519
520,NIST Security controls,Access Enforcement,mitigates,520
521,NIST Security controls,Access Enforcement,mitigates,521
522,NIST Security controls,Access Enforcement,mitigates,522
523,NIST Security controls,Access Enforcement,mitigates,523
524,NIST Security controls,Access Enforcement,mitigates,524
525,NIST Security controls,Access Enforcement,mitigates,525
526,NIST Security controls,Access Enforcement,mitigates,526
527,NIST Security controls,Access Enforcement,mitigates,527
528,NIST Security controls,Access Enforcement,mitigates,528
529,NIST Security controls,Access Enforcement,mitigates,529
530,NIST Security controls,Access Enforcement,mitigates,530
531,NIST Security controls,Access Enforcement,mitigates,531
532,NIST Security controls,Access Enforcement,mitigates,532
533,NIST Security controls,Access Enforcement,mitigates,533
534,NIST Security controls,Access Enforcement,mitigates,534
535,NIST Security controls,Access Enforcement,mitigates,535
536,NIST Security controls,Access Enforcement,mitigates,536
537,NIST Security controls,Access Enforcement,mitigates,537
538,NIST Security controls,Access Enforcement,mitigates,538
539,NIST Security controls,Access Enforcement,mitigates,539
540,NIST Security controls,Access Enforcement,mitigates,540
541,NIST Security controls,Access Enforcement,mitigates,541
542,NIST Security controls,Access Enforcement,mitigates,542
543,NIST Security controls,Access Enforcement,mitigates,543
544,NIST Security controls,Access Enforcement,mitigates,544
545,NIST Security controls,Access Enforcement,mitigates,545
546,NIST Security controls,Access Enforcement,mitigates,546
547,NIST Security controls,Access Enforcement,mitigates,547
548,NIST Security controls,Access Enforcement,mitigates,548
549,NIST Security controls,Access Enforcement,mitigates,549
550,NIST Security controls,Access Enforcement,mitigates,550
551,NIST Security controls,Access Enforcement,mitigates,551
552,NIST Security controls,Access Enforcement,mitigates,552
553,NIST Security controls,Access Enforcement,mitigates,553
554,NIST Security controls,Access Enforcement,mitigates,554
555,NIST Security controls,Access Enforcement,mitigates,555
556,NIST Security controls,Access Enforcement,mitigates,556
557,NIST Security controls,Access Enforcement,mitigates,557
558,NIST Security controls,Access Enforcement,mitigates,558
559,NIST Security controls,Access Enforcement,mitigates,559
560,NIST Security controls,Access Enforcement,mitigates,560
561,NIST Security controls,Access Enforcement,mitigates,561
562,NIST Security controls,Access Enforcement,mitigates,562
563,NIST Security controls,Access Enforcement,mitigates,563
564,NIST Security controls,Access Enforcement,mitigates,564
565,NIST Security controls,Access Enforcement,mitigates,565
566,NIST Security controls,Access Enforcement,mitigates,566
567,NIST Security controls,Access Enforcement,mitigates,567
568,NIST Security controls,Access Enforcement,mitigates,568
569,NIST Security controls,Access Enforcement,mitigates,569
