,relationship-type,veris-path,attack-object-key
52,related-to,action.hacking.variety.Abuse of functionality,52
53,related-to,action.hacking.variety.Abuse of functionality,53
54,related-to,action.hacking.variety.Abuse of functionality,54
55,related-to,action.hacking.variety.Abuse of functionality,55
56,related-to,action.hacking.variety.Abuse of functionality,56
57,related-to,action.hacking.variety.Abuse of functionality,57
58,related-to,action.hacking.variety.Abuse of functionality,58
59,related-to,action.hacking.variety.Abuse of functionality,59
60,related-to,action.hacking.variety.Abuse of functionality,60
61,related-to,action.hacking.variety.Abuse of functionality,61
62,related-to,action.hacking.variety.Abuse of functionality,62
63,related-to,action.hacking.variety.Abuse of functionality,63
64,related-to,action.hacking.variety.Abuse of functionality,64
65,related-to,action.hacking.variety.Abuse of functionality,65
66,related-to,action.hacking.variety.Abuse of functionality,66
67,related-to,action.hacking.variety.Abuse of functionality,67
68,related-to,action.hacking.variety.Use of backdoor or C2,68
69,related-to,action.hacking.vector.Backdoor or C2,69
70,related-to,action.malware.variety.Backdoor,70
71,related-to,action.hacking.variety.Abuse of functionality,71
72,related-to,action.hacking.variety.Use of backdoor or C2,72
73,related-to,action.hacking.vector.Backdoor or C2,73
74,related-to,action.malware.variety.Backdoor,74
75,related-to,action.hacking.variety.Abuse of functionality,75
76,related-to,action.hacking.variety.Abuse of functionality,76
77,related-to,action.hacking.variety.Use of backdoor or C2,77
78,related-to,action.hacking.vector.Backdoor or C2,78
79,related-to,action.malware.variety.Backdoor,79
80,related-to,action.malware.variety.Rootkit,80
81,related-to,action.hacking.variety.Abuse of functionality,81
82,related-to,action.hacking.variety.Abuse of functionality,82
83,related-to,action.hacking.variety.Abuse of functionality,83
84,related-to,action.malware.variety.RAT,84
85,related-to,action.hacking.variety.Abuse of functionality,85
86,related-to,action.hacking.variety.Abuse of functionality,86
87,related-to,action.hacking.vector.Backdoor or C2,87
88,related-to,action.malware.variety.Backdoor,88
89,related-to,attribute.integrity.variety.Modify configuration,89
90,related-to,action.hacking.variety.Abuse of functionality,90
91,related-to,action.hacking.variety.Abuse of functionality,91
92,related-to,action.hacking.variety.Abuse of functionality,92
93,related-to,action.hacking.variety.Exploit misconfig,93
94,related-to,action.malware.variety.Exploit misconfig,94
95,related-to,action.hacking.variety.Abuse of functionality,95
96,related-to,action.hacking.variety.Exploit misconfig,96
97,related-to,action.malware.variety.Client-side attack,97
98,related-to,action.hacking.variety.Abuse of functionality,98
99,related-to,action.hacking.variety.Exploit misconfig,99
100,related-to,action.hacking.variety.Abuse of functionality,100
101,related-to,action.hacking.variety.Abuse of functionality,101
102,related-to,action.hacking.variety.Abuse of functionality,102
103,related-to,action.hacking.variety.Abuse of functionality,103
104,related-to,action.malware.vector.Network propagation,104
105,related-to,action.hacking.variety.Abuse of functionality,105
106,related-to,action.malware.vector.Network propagation,106
107,related-to,action.hacking.variety.Abuse of functionality,107
108,related-to,action.malware.vector.Network propagation,108
109,related-to,action.hacking.variety.Abuse of functionality,109
110,related-to,action.hacking.variety.Abuse of functionality,110
111,related-to,action.hacking.variety.Abuse of functionality,111
112,related-to,action.hacking.variety.Abuse of functionality,112
113,related-to,action.hacking.variety.Abuse of functionality,113
114,related-to,action.hacking.variety.Abuse of functionality,114
115,related-to,action.hacking.variety.Abuse of functionality,115
116,related-to,action.hacking.variety.Abuse of functionality,116
117,related-to,action.malware.variety.Trojan,117
118,related-to,action.hacking.variety.Abuse of functionality,118
119,related-to,action.hacking.variety.Abuse of functionality,119
120,related-to,action.hacking.variety.Abuse of functionality,120
121,related-to,action.malware.vector.Direct install,121
122,related-to,action.hacking.variety.Abuse of functionality,122
123,related-to,action.hacking.vector.Hypervisor,123
124,related-to,action.hacking.vector.Inter-tenant,124
125,related-to,action.hacking.variety.Abuse of functionality,125
126,related-to,action.hacking.variety.Abuse of functionality,126
127,related-to,action.hacking.variety.Abuse of functionality,127
128,related-to,action.hacking.variety.Abuse of functionality,128
129,related-to,action.hacking.variety.Abuse of functionality,129
130,related-to,action.hacking.variety.Brute force,130
131,related-to,action.malware.variety.Brute force,131
132,related-to,action.hacking.variety.Brute force,132
133,related-to,action.malware.variety.Brute force,133
134,related-to,action.hacking.variety.Brute force,134
135,related-to,action.hacking.variety.Offline cracking,135
136,related-to,action.malware.variety.Brute force,136
137,related-to,action.hacking.variety.Brute force,137
138,related-to,action.malware.variety.Brute force,138
139,related-to,action.hacking.variety.Brute force,139
140,related-to,action.malware.variety.Brute force,140
141,related-to,action.hacking.variety.Buffer overflow,141
142,related-to,action.hacking.variety.HTTP Response Splitting,142
143,related-to,action.hacking.variety.HTTP request smuggling,143
144,related-to,action.hacking.variety.HTTP request splitting,144
145,related-to,action.hacking.variety.HTTP response smuggling,145
146,related-to,action.malware.variety.Client-side attack,146
147,related-to,action.malware.vector.Email attachment,147
148,related-to,action.hacking.variety.Cryptanalysis,148
149,related-to,action.malware.variety.Disable controls,149
150,related-to,action.hacking.variety.DoS,150
151,related-to,action.malware.variety.DoS,151
152,related-to,action.hacking.variety.DoS,152
153,related-to,action.malware.variety.DoS,153
154,related-to,action.hacking.variety.DoS,154
155,related-to,action.malware.variety.DoS,155
156,related-to,action.hacking.variety.DoS,156
157,related-to,action.hacking.variety.Soap array abuse,157
158,related-to,action.hacking.variety.XML attribute blowup,158
159,related-to,action.hacking.variety.XML entity expansion,159
160,related-to,action.hacking.variety.XML external entities,160
161,related-to,action.malware.variety.DoS,161
162,related-to,action.hacking.variety.DoS,162
163,related-to,action.malware.variety.DoS,163
164,related-to,action.hacking.variety.DoS,164
165,related-to,action.malware.variety.DoS,165
166,related-to,action.hacking.variety.DoS,166
167,related-to,action.malware.variety.DoS,167
168,related-to,action.hacking.variety.DoS,168
169,related-to,action.malware.variety.DoS,169
170,related-to,action.hacking.variety.DoS,170
171,related-to,action.hacking.variety.Unknown,171
172,related-to,value_chain.development.variety.Bot,172
173,related-to,value_chain.distribution.variety.Botnet,173
174,related-to,action.hacking.variety.DoS,174
175,related-to,action.hacking.variety.Unknown,175
176,related-to,value_chain.distribution.variety.Other,176
177,related-to,value_chain.non-distribution services.variety.Other,177
178,related-to,action.hacking.variety.Exploit misconfig,178
179,related-to,action.hacking.variety.Exploit vuln,179
180,related-to,action.hacking.variety.Format string attack,180
181,related-to,action.hacking.variety.Fuzz testing,181
182,related-to,action.hacking.variety.Insecure deserialization,182
183,related-to,action.hacking.variety.Integer overflows,183
184,related-to,action.hacking.variety.LDAP injection,184
185,related-to,action.malware.variety.Exploit misconfig,185
186,related-to,action.hacking.variety.Exploit misconfig,186
187,related-to,action.malware.variety.Exploit vuln,187
188,related-to,action.hacking.variety.Exploit misconfig,188
189,related-to,action.malware.variety.Exploit vuln,189
190,related-to,action.hacking.variety.Exploit misconfig,190
191,related-to,action.hacking.variety.Exploit vuln,191
192,related-to,action.hacking.variety.Session fixation,192
193,related-to,action.malware.variety.Disable controls,193
194,related-to,action.malware.variety.Exploit vuln,194
195,related-to,action.malware.variety.Password dumper,195
196,related-to,action.malware.vector.Web application - drive-by,196
197,related-to,action.hacking.variety.Exploit misconfig,197
198,related-to,action.hacking.variety.Use of stolen creds,198
199,related-to,action.malware.variety.Exploit misconfig,199
200,related-to,action.hacking.variety.Exploit misconfig,200
201,related-to,action.hacking.variety.Exploit vuln,201
202,related-to,action.hacking.variety.Unknown,202
203,related-to,action.hacking.variety.Exploit misconfig,203
204,related-to,action.hacking.variety.Exploit vuln,204
205,related-to,action.hacking.variety.Unknown,205
206,related-to,action.hacking.variety.Exploit misconfig,206
207,related-to,action.hacking.variety.Unknown,207
208,related-to,action.hacking.variety.Exploit misconfig,208
209,related-to,action.hacking.variety.Exploit misconfig,209
210,related-to,action.hacking.variety.Exploit vuln,210
211,related-to,action.hacking.variety.Unknown,211
212,related-to,action.hacking.variety.Exploit vuln,212
213,related-to,action.malware.variety.Exploit vuln,213
214,related-to,action.malware.variety.Scan network,214
215,related-to,value_chain.targeting.variety.Organizational Information,215
216,related-to,action.hacking.variety.Footprinting,216
217,related-to,action.hacking.variety.Footprinting,217
218,related-to,action.hacking.variety.Footprinting,218
219,related-to,action.hacking.variety.Footprinting,219
220,related-to,action.hacking.variety.Footprinting,220
221,related-to,action.hacking.variety.Footprinting,221
222,related-to,action.hacking.variety.Footprinting,222
223,related-to,action.hacking.variety.Footprinting,223
224,related-to,action.hacking.variety.Footprinting,224
225,related-to,action.hacking.variety.Footprinting,225
226,related-to,action.hacking.variety.Footprinting,226
227,related-to,action.hacking.variety.Footprinting,227
228,related-to,action.hacking.variety.Footprinting,228
229,related-to,action.hacking.variety.Footprinting,229
230,related-to,action.malware.variety.Capture stored data,230
231,related-to,action.hacking.variety.Footprinting,231
232,related-to,action.hacking.variety.Footprinting,232
233,related-to,action.hacking.variety.Footprinting,233
234,related-to,action.hacking.variety.Footprinting,234
235,related-to,action.hacking.variety.Footprinting,235
236,related-to,action.hacking.variety.Footprinting,236
237,related-to,action.hacking.variety.Footprinting,237
238,related-to,action.hacking.variety.Footprinting,238
239,related-to,action.hacking.variety.Footprinting,239
240,related-to,action.hacking.variety.Footprinting,240
241,related-to,action.hacking.variety.Footprinting,241
242,related-to,value_chain.targeting.variety.Personal Information,242
243,related-to,action.hacking.variety.Footprinting,243
244,related-to,value_chain.targeting.variety.Lost or stolen credentials,244
245,related-to,value_chain.targeting.variety.Personal Information,245
246,related-to,action.hacking.variety.Footprinting,246
247,related-to,value_chain.targeting.variety.Email addresses,247
248,related-to,value_chain.targeting.variety.Personal Information,248
249,related-to,action.hacking.variety.Footprinting,249
250,related-to,value_chain.targeting.variety.Personal Information,250
251,related-to,action.hacking.variety.Footprinting,251
252,related-to,value_chain.targeting.variety.Organizational Information,252
253,related-to,action.hacking.variety.Footprinting,253
254,related-to,value_chain.targeting.variety.Organizational Information,254
255,related-to,action.hacking.variety.Footprinting,255
256,related-to,value_chain.targeting.variety.Organizational Information,256
257,related-to,action.hacking.variety.Footprinting,257
258,related-to,value_chain.targeting.variety.Organizational Information,258
259,related-to,action.hacking.variety.Footprinting,259
260,related-to,value_chain.targeting.variety.Organizational Information,260
261,related-to,action.hacking.variety.Footprinting,261
262,related-to,value_chain.targeting.variety.Organizational Information,262
263,related-to,action.hacking.variety.Footprinting,263
264,related-to,value_chain.targeting.variety.Organizational Information,264
265,related-to,action.hacking.variety.Footprinting,265
266,related-to,value_chain.targeting.variety.Organizational Information,266
267,related-to,action.hacking.variety.Footprinting,267
268,related-to,value_chain.targeting.variety.Organizational Information,268
269,related-to,action.hacking.variety.Footprinting,269
270,related-to,value_chain.targeting.variety.Organizational Information,270
271,related-to,action.hacking.variety.Footprinting,271
272,related-to,value_chain.targeting.variety.Organizational Information,272
273,related-to,action.hacking.variety.Footprinting,273
274,related-to,value_chain.targeting.variety.Organizational Information,274
275,related-to,action.hacking.variety.Footprinting,275
276,related-to,value_chain.targeting.variety.Organizational Information,276
277,related-to,action.hacking.variety.Footprinting,277
278,related-to,value_chain.targeting.variety.Organizational Information,278
279,related-to,action.hacking.variety.Footprinting,279
280,related-to,value_chain.targeting.variety.Organizational Information,280
281,related-to,action.hacking.variety.Footprinting,281
282,related-to,value_chain.targeting.variety.Organizational Information,282
283,related-to,action.hacking.variety.Footprinting,283
284,related-to,value_chain.targeting.variety.Organizational Information,284
285,related-to,action.hacking.variety.Footprinting,285
286,related-to,value_chain.targeting.variety.Organizational Information,286
287,related-to,action.hacking.variety.Footprinting,287
288,related-to,value_chain.targeting.variety.Organizational Information,288
289,related-to,action.hacking.variety.Footprinting,289
290,related-to,value_chain.targeting.variety.Organizational Information,290
291,related-to,action.hacking.variety.Footprinting,291
292,related-to,value_chain.targeting.variety.Organizational Information,292
293,related-to,action.hacking.variety.Footprinting,293
294,related-to,value_chain.targeting.variety.Organizational Information,294
295,related-to,action.hacking.variety.Footprinting,295
296,related-to,value_chain.targeting.variety.Organizational Information,296
297,related-to,action.hacking.variety.Footprinting,297
298,related-to,value_chain.targeting.variety.Organizational Information,298
299,related-to,action.hacking.variety.Footprinting,299
300,related-to,value_chain.targeting.variety.Organizational Information,300
301,related-to,action.hacking.variety.Footprinting,301
302,related-to,value_chain.targeting.variety.Organizational Information,302
303,related-to,action.hacking.variety.Footprinting,303
304,related-to,value_chain.targeting.variety.Organizational Information,304
305,related-to,action.hacking.variety.Footprinting,305
306,related-to,value_chain.targeting.variety.Organizational Information,306
307,related-to,action.hacking.variety.Footprinting,307
308,related-to,value_chain.targeting.variety.Organizational Information,308
309,related-to,action.hacking.variety.Footprinting,309
310,related-to,value_chain.targeting.variety.Organizational Information,310
311,related-to,action.hacking.variety.Footprinting,311
312,related-to,action.malware.variety.Capture stored data,312
313,related-to,action.hacking.variety.Footprinting,313
314,related-to,action.hacking.variety.Footprinting,314
315,related-to,action.hacking.variety.Footprinting,315
316,related-to,action.hacking.variety.Footprinting,316
317,related-to,action.hacking.variety.Forced browsing,317
318,related-to,action.hacking.variety.MitM,318
319,related-to,action.malware.variety.Capture app data,319
320,related-to,action.hacking.variety.Forced browsing,320
321,related-to,action.hacking.variety.Unknown,321
322,related-to,value_chain.distribution.variety.Other,322
323,related-to,value_chain.non-distribution services.variety.Other,323
324,related-to,action.hacking.variety.Forced browsing,324
325,related-to,action.hacking.variety.Unknown,325
326,related-to,value_chain.distribution.variety.Other,326
327,related-to,value_chain.non-distribution services.variety.Other,327
328,related-to,action.hacking.variety.Forced browsing,328
329,related-to,action.hacking.variety.Unknown,329
330,related-to,action.malware.variety.C2,330
331,related-to,value_chain.development.variety.Website,331
332,related-to,value_chain.distribution.variety.Other,332
333,related-to,value_chain.non-distribution services.variety.Other,333
334,related-to,action.hacking.variety.HTTP Response Splitting,334
335,related-to,action.hacking.variety.HTTP request smuggling,335
336,related-to,action.hacking.variety.HTTP request splitting,336
337,related-to,action.hacking.variety.HTTP response smuggling,337
338,related-to,action.hacking.variety.MitM,338
339,related-to,action.hacking.variety.Session fixation,339
340,related-to,action.malware.variety.Capture app data,340
341,related-to,action.hacking.variety.MitM,341
342,related-to,action.hacking.variety.Routing detour,342
343,related-to,action.hacking.variety.MitM,343
344,related-to,action.hacking.variety.MitM,344
345,related-to,action.hacking.variety.Pass-the-hash,345
346,related-to,action.hacking.variety.Use of stolen creds,346
347,related-to,action.malware.variety.Password dumper,347
348,related-to,action.hacking.variety.Use of backdoor or C2,348
349,related-to,action.hacking.vector.Backdoor or C2,349
350,related-to,action.malware.variety.Unknown,350
351,related-to,action.hacking.variety.Use of backdoor or C2,351
352,related-to,action.hacking.vector.Backdoor or C2,352
353,related-to,action.malware.variety.C2,353
354,related-to,action.hacking.variety.Use of backdoor or C2,354
355,related-to,action.hacking.vector.Backdoor or C2,355
356,related-to,action.malware.variety.C2,356
357,related-to,action.malware.variety.Unknown,357
358,related-to,action.hacking.variety.Use of backdoor or C2,358
359,related-to,action.hacking.variety.Use of stolen creds,359
360,related-to,action.hacking.vector.Backdoor or C2,360
361,related-to,action.hacking.variety.Use of backdoor or C2,361
362,related-to,action.hacking.vector.Backdoor or C2,362
363,related-to,action.malware.variety.C2,363
364,related-to,action.hacking.variety.Use of backdoor or C2,364
365,related-to,action.hacking.vector.Backdoor or C2,365
366,related-to,action.malware.variety.C2,366
367,related-to,action.hacking.variety.Use of backdoor or C2,367
368,related-to,action.hacking.vector.Backdoor or C2,368
369,related-to,action.malware.variety.C2,369
370,related-to,action.hacking.variety.Use of backdoor or C2,370
371,related-to,action.hacking.vector.Backdoor or C2,371
372,related-to,action.malware.variety.C2,372
373,related-to,action.hacking.variety.Unknown,373
374,related-to,action.hacking.variety.Use of backdoor or C2,374
375,related-to,action.hacking.vector.Backdoor or C2,375
376,related-to,action.hacking.variety.Use of backdoor or C2,376
377,related-to,action.hacking.vector.Backdoor or C2,377
378,related-to,action.malware.variety.C2,378
379,related-to,action.hacking.variety.Use of backdoor or C2,379
380,related-to,action.hacking.variety.Use of stolen creds,380
381,related-to,action.hacking.vector.3rd party desktop,381
382,related-to,action.hacking.vector.Backdoor or C2,382
383,related-to,action.hacking.vector.Desktop sharing software,383
384,related-to,action.malware.variety.Backdoor,384
385,related-to,action.malware.variety.Exploit vuln,385
386,related-to,action.malware.vector.Remote injection,386
387,related-to,action.malware.vector.Web application,387
388,related-to,action.hacking.variety.Use of backdoor or C2,388
389,related-to,action.hacking.vector.Backdoor or C2,389
390,related-to,action.malware.variety.C2,390
391,related-to,action.hacking.variety.Use of backdoor or C2,391
392,related-to,action.hacking.vector.Backdoor or C2,392
393,related-to,action.malware.variety.Backdoor,393
394,related-to,action.hacking.variety.Use of backdoor or C2,394
395,related-to,action.hacking.vector.Backdoor or C2,395
396,related-to,action.malware.variety.Backdoor,396
397,related-to,action.hacking.variety.Use of backdoor or C2,397
398,related-to,action.hacking.vector.Backdoor or C2,398
399,related-to,action.malware.variety.Backdoor,399
400,related-to,action.malware.variety.RAT,400
401,related-to,action.malware.variety.Unknown,401
402,related-to,action.hacking.variety.Use of backdoor or C2,402
403,related-to,action.hacking.vector.Backdoor or C2,403
404,related-to,action.malware.variety.C2,404
405,related-to,action.malware.vector.Download by malware,405
406,related-to,action.hacking.variety.Use of backdoor or C2,406
407,related-to,action.hacking.vector.Backdoor or C2,407
408,related-to,action.malware.variety.C2,408
409,related-to,action.hacking.variety.Use of backdoor or C2,409
410,related-to,action.hacking.vector.Backdoor or C2,410
411,related-to,action.malware.variety.C2,411
412,related-to,action.hacking.variety.Use of backdoor or C2,412
413,related-to,action.hacking.vector.Backdoor or C2,413
414,related-to,action.malware.variety.C2,414
415,related-to,action.hacking.variety.Use of backdoor or C2,415
416,related-to,action.malware.variety.C2,416
417,related-to,action.hacking.variety.Use of backdoor or C2,417
418,related-to,action.malware.variety.C2,418
419,related-to,action.hacking.variety.Use of stolen creds,419
420,related-to,action.malware.vector.Network propagation,420
421,related-to,action.hacking.variety.Use of stolen creds,421
422,related-to,action.hacking.vector.Desktop sharing software,422
423,related-to,action.hacking.variety.Use of stolen creds,423
424,related-to,action.hacking.vector.Command shell,424
425,related-to,action.hacking.variety.Use of stolen creds,425
426,related-to,action.hacking.vector.Command shell,426
427,related-to,action.hacking.variety.Use of stolen creds,427
428,related-to,action.hacking.vector.Command shell,428
429,related-to,action.hacking.variety.Use of stolen creds,429
430,related-to,action.hacking.vector.Desktop sharing software,430
431,related-to,action.hacking.variety.Use of stolen creds,431
432,related-to,action.hacking.vector.Command shell,432
433,related-to,action.hacking.variety.Use of stolen creds,433
434,related-to,action.hacking.variety.Use of stolen creds,434
435,related-to,action.hacking.variety.Use of stolen creds,435
436,related-to,action.hacking.variety.Use of stolen creds,436
437,related-to,action.hacking.variety.Use of stolen creds,437
438,related-to,action.hacking.variety.Use of stolen creds,438
439,related-to,action.hacking.variety.Use of stolen creds,439
440,related-to,action.hacking.variety.Use of stolen creds,440
441,related-to,action.hacking.variety.Use of stolen creds,441
442,related-to,action.hacking.variety.Use of stolen creds,442
443,related-to,action.hacking.variety.Use of stolen creds,443
444,related-to,action.malware.vector.Network propagation,444
445,related-to,action.hacking.variety.Use of stolen creds,445
446,related-to,action.hacking.variety.Use of stolen creds,446
447,related-to,action.hacking.variety.Use of stolen creds,447
448,related-to,action.hacking.variety.Use of stolen creds,448
449,related-to,action.hacking.variety.Use of stolen creds,449
450,related-to,action.hacking.variety.Use of stolen creds,450
451,related-to,action.hacking.variety.Use of stolen creds,451
452,related-to,action.hacking.variety.Use of stolen creds,452
453,related-to,action.hacking.variety.Use of stolen creds,453
454,related-to,action.social.variety.Phishing,454
455,related-to,action.social.variety.Pretexting,455
456,related-to,action.hacking.variety.Use of stolen creds,456
457,related-to,action.hacking.variety.Virtual machine escape,457
458,related-to,action.hacking.variety.XML external entities,458
459,related-to,action.malware.variety.Capture stored data,459
460,related-to,action.hacking.variety.XML injection,460
461,related-to,action.hacking.vector.Backdoor or C2,461
462,related-to,action.malware.variety.Backdoor,462
463,related-to,attribute.integrity.variety.Alter behavior,463
464,related-to,action.hacking.variety.Unknown,464
465,related-to,action.hacking.variety.XML injection,465
466,related-to,action.hacking.vector.Backdoor or C2,466
467,related-to,action.malware.variety.Backdoor,467
468,related-to,action.hacking.variety.XPath injection,468
469,related-to,action.malware.variety.Capture stored data,469
470,related-to,action.hacking.variety.Unknown,470
471,related-to,action.hacking.variety.Unknown,471
472,related-to,action.malware.vector.Web application - download,472
473,related-to,action.hacking.variety.Unknown,473
474,related-to,action.malware.variety.C2,474
475,related-to,value_chain.distribution.variety.Other,475
476,related-to,value_chain.non-distribution services.variety.Other,476
477,related-to,action.hacking.variety.Unknown,477
478,related-to,action.malware.variety.C2,478
479,related-to,value_chain.distribution.variety.Other,479
480,related-to,value_chain.non-distribution services.variety.Other,480
481,related-to,action.hacking.variety.Unknown,481
482,related-to,action.malware.vector.Web application - download,482
483,related-to,value_chain.distribution.variety.Other,483
484,related-to,value_chain.non-distribution services.variety.Other,484
485,related-to,action.hacking.variety.Unknown,485
486,related-to,action.social.variety.Pretexting,486
487,related-to,value_chain.distribution.variety.Other,487
488,related-to,value_chain.non-distribution services.variety.Other,488
489,related-to,action.hacking.variety.Unknown,489
490,related-to,action.malware.variety.C2,490
491,related-to,value_chain.distribution.variety.Compromised server,491
492,related-to,value_chain.non-distribution services.variety.Other,492
493,related-to,action.hacking.variety.Unknown,493
494,related-to,value_chain.distribution.variety.Compromised server,494
495,related-to,value_chain.non-distribution services.variety.Other,495
496,related-to,action.hacking.variety.Unknown,496
497,related-to,value_chain.distribution.variety.Compromised server,497
498,related-to,value_chain.non-distribution services.variety.Other,498
499,related-to,action.hacking.variety.Unknown,499
500,related-to,value_chain.distribution.variety.Other,500
501,related-to,value_chain.non-distribution services.variety.Other,501
502,related-to,action.hacking.variety.Unknown,502
503,related-to,value_chain.development.variety.Unknown,503
504,related-to,action.hacking.variety.Unknown,504
505,related-to,action.malware.variety.Unknown,505
506,related-to,value_chain.development.variety.Bot,506
507,related-to,value_chain.development.variety.Payload,507
508,related-to,value_chain.development.variety.Ransomware,508
509,related-to,value_chain.development.variety.Trojan,509
510,related-to,action.hacking.variety.Unknown,510
511,related-to,value_chain.development.variety.Other,511
512,related-to,action.hacking.variety.Unknown,512
513,related-to,value_chain.development.variety.Other,513
514,related-to,action.hacking.variety.Unknown,514
515,related-to,action.malware.variety.Unknown,515
516,related-to,value_chain.development.variety.Exploit,516
517,related-to,value_chain.development.variety.Exploit Kits,517
518,related-to,action.hacking.variety.Unknown,518
519,related-to,value_chain.development.variety.Unknown,519
520,related-to,action.hacking.variety.Unknown,520
521,related-to,action.malware.variety.Unknown,521
522,related-to,value_chain.development.variety.Bot,522
523,related-to,value_chain.development.variety.Payload,523
524,related-to,value_chain.development.variety.Ransomware,524
525,related-to,value_chain.development.variety.Trojan,525
526,related-to,action.hacking.variety.Unknown,526
527,related-to,action.hacking.variety.Unknown,527
528,related-to,value_chain.development.variety.Other,528
529,related-to,action.hacking.variety.Unknown,529
530,related-to,value_chain.development.variety.Other,530
531,related-to,action.hacking.variety.Unknown,531
532,related-to,action.malware.variety.Unknown,532
533,related-to,value_chain.development.variety.Exploit,533
534,related-to,value_chain.development.variety.Exploit Kits,534
535,related-to,action.hacking.variety.Unknown,535
536,related-to,action.malware.variety.Unknown,536
537,related-to,action.hacking.variety.Unknown,537
538,related-to,action.hacking.variety.Unknown,538
539,related-to,action.hacking.variety.Unknown,539
540,related-to,action.hacking.variety.Unknown,540
541,related-to,action.hacking.variety.Unknown,541
542,related-to,action.hacking.variety.Unknown,542
543,related-to,attribute.integrity.variety.Unknown,543
544,related-to,action.hacking.vector.Backdoor or C2,544
545,related-to,action.malware.variety.Backdoor,545
546,related-to,attribute.integrity.variety.Modify configuration,546
547,related-to,action.hacking.vector.Backdoor or C2,547
548,related-to,action.malware.variety.Backdoor,548
549,related-to,attribute.integrity.variety.Modify privileges,549
550,related-to,action.hacking.vector.Backdoor or C2,550
551,related-to,action.malware.variety.Modify data,551
552,related-to,attribute.integrity.variety.Created account,552
553,related-to,action.hacking.vector.Backdoor or C2,553
554,related-to,action.malware.variety.Export data,554
555,related-to,action.hacking.vector.Backdoor or C2,555
556,related-to,action.malware.variety.Rootkit,556
557,related-to,action.hacking.vector.Backdoor or C2,557
558,related-to,action.malware.variety.Adminware,558
559,related-to,action.malware.variety.Backdoor,559
560,related-to,action.malware.variety.Trojan,560
561,related-to,action.hacking.vector.Desktop sharing software,561
562,related-to,action.malware.variety.Adminware,562
563,related-to,action.hacking.vector.Hypervisor,563
564,related-to,action.hacking.vector.Inter-tenant,564
565,related-to,action.malware.variety.Disable controls,565
566,related-to,action.hacking.vector.Partner,566
567,related-to,action.malware.variety.Adware,567
568,related-to,action.hacking.vector.Partner,568
569,related-to,action.malware.vector.Software update,569
570,related-to,action.hacking.vector.Partner,570
571,related-to,action.hacking.vector.Partner,571
572,related-to,action.hacking.vector.Partner,572
573,related-to,action.hacking.vector.Physical access,573
574,related-to,action.malware.variety.Backdoor,574
575,related-to,action.malware.variety.C2,575
576,related-to,action.malware.variety.C2,576
577,related-to,action.malware.variety.Unknown,577
578,related-to,action.malware.variety.C2,578
579,related-to,action.malware.variety.Unknown,579
580,related-to,action.malware.variety.C2,580
