,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,score-category,score-value,related-score,metadata_key
18,"This control may detect suspicious usage of PowerShell and the Windows command line. These detections include usage of suspicious arguments, dynamic script construction, and shellcode on the commandline. The following alerts may be generated: ""Detected anomalous mix of upper and lower case characters in command-line"", ""Detected encoded executable in command line data"", ""Detected obfuscated command line"", ""Detected  suspicious combination of HTA and PowerShell"", ""Detected suspicious commandline arguments"", ""Detected suspicious commandline used to start all executables in a directory"", ""Detected suspicious credentials in commandline"", ""Dynamic PS script construction"", ""Suspicious  PowerShell Activity Detected"", ""Suspicious PowerShell cmdlets executed"", ""Suspicious command execution"".",T1059.001,PowerShell,[],[],,Alerts for Windows Machines,technique-scores,Detect,Significant,T1059,0
19,"This control may detect suspicious usage of PowerShell and the Windows command line. These detections include usage of suspicious arguments, dynamic script construction, and shellcode on the commandline. The following alerts may be generated: ""Detected anomalous mix of upper and lower case characters in command-line"", ""Detected encoded executable in command line data"", ""Detected obfuscated command line"", ""Detected  suspicious combination of HTA and PowerShell"", ""Detected suspicious commandline arguments"", ""Detected suspicious commandline used to start all executables in a directory"", ""Detected suspicious credentials in commandline"", ""Dynamic PS script construction"", ""Suspicious  PowerShell Activity Detected"", ""Suspicious PowerShell cmdlets executed"", ""Suspicious command execution"".",T1059.003,Windows Command Shell,[],[],,Alerts for Windows Machines,technique-scores,Detect,Significant,T1059,0
20,,T1204,User Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
21,"This control may detect the usage of a malware dropper and other indicators of a malicious file being executed by the user. The following alerts may be generated: ""Detected possible execution of keygen executable"", ""Detected possible execution of malware dropper"", ""Detected suspicious file creation"".",T1204.002,Malicious File,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1204,0
22,,T1547,Boot or Logon Autostart Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
23,"This control may detect when the Registry is leveraged to gain persistence. The following alerts may be generated: ""Windows registry persistence method detected"".",T1547.001,Registry Run Keys / Startup Folder,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1547,0
24,,T1136,Create Account,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
25,"This control may detect when an account is created with an account name that closely resembles a standard Windows account or group name. This may be an account created by an attacker to blend into the environment. The following alerts may be generated: ""Suspicious Account Creation Detected"".",T1136.001,Local Account,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1136,0
26,,T1543,Create or Modify System Process,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
27,"This control may detect when the tscon.exe binary is installed as a service to exploit RDP sessions or when a rare service group is executed under SVCHOST. The following alerts may be generated: ""Suspect service installation"".",T1543.003,Windows Service,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1543,0
28,,T1546,Event Triggered Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
29,"This control may detect when a suspicious screensaver process is executed, based on the location of the .scr file.  Because this detection is based solely on the location of the file, it has been scored as Partial. The following alerts may be generated: ""Suspicious Screensaver process executed"".",T1546.002,Screensaver,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1546,0
30,"This control may detect when the binary for the sticky keys utility has been replaced, possibly to gain persistence or execution. The following alerts may be generated: ""Sticky keys attack detected"".",T1546.008,Accessibility Features,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1546,0
31,,T1548,Abuse Elevation Control Mechanism,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
32,"This control may detect when User Account Control is bypassed by manipulating the Windows registry. There may be other methods to Bypass User Account Control which limits the score to Minimal. The following alerts may be generated: ""Detected change to a registry key that can be abused to bypass UAC""",T1548.002,Bypass User Account Control,[],[],,Alerts for Windows Machines,technique-scores,Detect,Minimal,T1548,0
33,,T1055,Process Injection,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
34,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.001,Dynamic-link Library Injection,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1055,0
35,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.002,Portable Executable Injection,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1055,0
36,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.003,Thread Execution Hijacking,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1055,0
37,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.005,Thread Local Storage,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1055,0
38,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.004,Asynchronous Procedure Call,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1055,0
39,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.011,Extra Window Memory Injection,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1055,0
40,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.012,Process Hollowing,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1055,0
41,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.013,Process Doppelgänging,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1055,0
42,,T1203,Exploitation for Client Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
43,,T1212,Exploitation for Credential Access,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
44,,T1211,Exploitation for Defense Evasion,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
45,,T1068,Exploitation for Privilege Escalation,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
46,,T1210,Exploitation of Remote Services,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
47,,T1190,Exploit Public-Facing Application,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
48,,T1189,Drive-by Compromise,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
49,,T1140,Deobfuscate/Decode Files or Information,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
50,,T1222,File and Directory Permissions Modification,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
51,"This control may detect the usage of cacls.exe to modify file and directory permissions. The following alerts may be generated: ""Detected suspicious use of Cacls to lower the security state of the system"".",T1222.001,Windows File and Directory Permissions Modification,[],[],,Alerts for Windows Machines,technique-scores,Detect,Minimal,T1222,0
52,,T1564,Hide Artifacts,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
53,"This control may detect usage of the WindowPosition Registry value to hide application windows in non-visible sections of the desktop. The following alerts may be generated: ""Suspicious WindowPosition registry value detected"".",T1564.003,Hidden Window,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1564,0
54,,T1562,Impair Defenses,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
55,"This control may detect modification of the Windows firewall through use of netsh.exe or using a method that matches a known threat actor. The following alerts may be generated: ""Malicious firewall rule created by ZINC server implant [seen multiple times]"", ""Detected suspicious new firewall rule"".",T1562.004,Disable or Modify System Firewall,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1562,0
56,"This control may detect when critical services have been disabled, such as Windows Security Center. This control may also detect when IIS logging has been disabled. The  following alerts may be generated: ""Detected the disabling of critical services"", ""Detected actions indicative of disabling and deleting IIS log files"".",T1562.001,Disable or Modify Tools,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1562,0
57,,T1070,Indicator Removal on Host,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
58,"This control may detect suspicious file cleanup commands and shadow copy deletion activity. The following alerts may be generated: ""Detected suspicious file cleanup commands"", ""Suspicious Volume Shadow Copy Activity"".",T1070.004,File Deletion,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1070,0
59,"This control may detect when an event log has been cleared or IIS logs have been deleted. The following alerts may be generated: ""Detected actions indicative of disabling and deleting IIS log files"", ""An event log was cleared"".",T1070.001,Clear Windows Event Logs,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1070,0
60,,T1112,Modify Registry,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
61,,T1027,Obfuscated Files or Information,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
62,,T1218,Signed Binary Proxy Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
63,"This control may detect suspicious usage of Mshta to execute PowerShell and suspicious Rundll32 execution. The following alerts may be generated: ""Detected suspicious execution via rundll32.exe"", ""Detected suspicious combination of HTA and PowerShell"".",T1218.005,Mshta,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1218,0
64,"This control may detect suspicious usage of Mshta to execute PowerShell and suspicious Rundll32 execution. The following alerts may be generated: ""Detected suspicious execution via rundll32.exe"", ""Detected suspicious combination of HTA and PowerShell"".",T1218.011,Rundll32,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1218,0
65,,T1110,Brute Force,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
66,"This control may detect successful and failed brute force attempts with logic that factors the IP, time between attempts, and other suspicious activity. The following alerts may be generated: ""A logon from a malicious IP has been detected"", ""A logon from a malicious IP has been detected. [seen multiple times]"", ""Successful brute force attack"", ""Suspicious authentication activity"".",T1110.003,Password Spraying,[],[],,Alerts for Windows Machines,technique-scores,Detect,Significant,T1110,0
67,"This control may detect successful and failed brute force attempts with logic that factors the IP, time between attempts, and other suspicious activity. The following alerts may be generated: ""A logon from a malicious IP has been detected"", ""A logon from a malicious IP has been detected. [seen multiple times]"", ""Successful brute force attack"", ""Suspicious authentication activity"".",T1110.001,Password Guessing,[],[],,Alerts for Windows Machines,technique-scores,Detect,Significant,T1110,0
68,"This control may detect successful and failed brute force attempts with logic that factors the IP, time between attempts, and other suspicious activity. The following alerts may be generated: ""A logon from a malicious IP has been detected"", ""A logon from a malicious IP has been detected. [seen multiple times]"", ""Successful brute force attack"", ""Suspicious authentication activity"".",T1110.004,Credential Stuffing,[],[],,Alerts for Windows Machines,technique-scores,Detect,Significant,T1110,0
69,,T1003,OS Credential Dumping,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
70,"This control may detect when the registry is modified to allow logon credentials to be stored in clear text in LSA memory. This change allows a threat actor to gain plain text credentials from the host machine. The following alerts may be generated: ""Detected enabling of the WDigest UseLogonCredential registry key"".",T1003.004,LSA Secrets,[],[],,Alerts for Windows Machines,technique-scores,Detect,Minimal,T1003,0
71,,T1558,Steal or Forge Kerberos Tickets,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
72,"This control may detect commandline parameters consistent with a Kerberos Golden Ticket attack. The following alerts may be generated: ""Suspected Kerberos Golden Ticket attack parameters observed"".",T1558.001,Golden Ticket,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1558,0
73,,T1087,Account Discovery,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
74,"This control may detect when the local administrators group is enumerated or when mulitiple domain accounts are queried. The following alerts may be generated: ""Multiple Domain Accounts Queried"", ""Local Administrators group members were enumerated"".",T1087.001,Local Account,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1087,0
75,"This control may detect when the local administrators group is enumerated or when mulitiple domain accounts are queried. The following alerts may be generated: ""Multiple Domain Accounts Queried"", ""Local Administrators group members were enumerated"".",T1087.002,Domain Account,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1087,0
76,,T1082,System Information Discovery,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
77,,T1563,Remote Service Session Hijacking,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
78,"This control may detect RDP hijacking through use of the tscon.exe binary. The following alerts may be generated: ""Suspect integrity level indicative of RDP hijacking"", ""Suspect service installation"".",T1563.002,RDP Hijacking,[],[],,Alerts for Windows Machines,technique-scores,Detect,Partial,T1563,0
79,,T1105,Ingress Tool Transfer,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Partial,,0
80,,T1048,Exfiltration Over Alternative Protocol,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']","['Azure Defender', 'Azure Defender for Servers', 'Windows']",,Alerts for Windows Machines,technique-scores,Detect,Minimal,,0
