,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
62,,T1070,Indicator Removal on Host,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
63,,T1070.001,Clear Windows Event Logs,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
64,,T1070.002,Clear Linux or Mac System Logs,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
65,,T1114,Email Collection,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
66,,T1114.001,Local Email Collection,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
67,,T1114.002,Remote Email Collection,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
68,,T1114.003,Email Forwarding Rule,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
69,,T1119,Automated Collection,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
70,,T1133,External Remote Services,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
71,,T1137,Office Application Startup,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
72,,T1137.002,Office Test,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
73,,T1213,Data from Information Repositories,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
74,,T1213.001,Confluence,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
75,,T1213.002,Sharepoint,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
76,,T1219,Remote Access Software,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
77,,T1530,Data from Cloud Storage Object,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
78,,T1537,Transfer Data to Cloud Account,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
79,,T1543,Create or Modify System Process,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
80,,T1543.003,Windows Service,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
81,,T1550.001,Application Access Token,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
82,,T1552,Unsecured Credentials,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
83,,T1552.004,Private Keys,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
84,,T1557,Man-in-the-Middle,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
85,,T1557.002,ARP Cache Poisoning,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
86,,T1558,Steal or Forge Kerberos Tickets,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
87,,T1558.002,Silver Ticket,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
88,,T1558.003,Kerberoasting,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
89,,T1558.004,AS-REP Roasting,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
90,,T1563,Remote Service Session Hijacking,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
91,,T1563.001,SSH Hijacking,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
92,,T1563.002,RDP Hijacking,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
93,,T1565,Data Manipulation,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
94,,T1565.001,Stored Data Manipulation,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
95,,T1565.002,Transmitted Data Manipulation,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
96,,T1602,Data from Configuration Repository,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
97,,T1602.001,SNMP (MIB Dump),[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
98,,T1602.002,Network Device Configuration Dump,[],Remote Access,AC-17,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
99,,T1011,Exfiltration Over Other Network Medium,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
100,,T1011.001,Exfiltration Over Bluetooth,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
101,,T1020.001,Traffic Duplication,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
102,,T1040,Network Sniffing,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
103,,T1070,Indicator Removal on Host,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
104,,T1070.001,Clear Windows Event Logs,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
105,,T1070.002,Clear Linux or Mac System Logs,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
106,,T1119,Automated Collection,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
107,,T1530,Data from Cloud Storage Object,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
108,,T1552,Unsecured Credentials,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
109,,T1552.004,Private Keys,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
110,,T1557,Man-in-the-Middle,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
111,,T1557.002,ARP Cache Poisoning,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
112,,T1558,Steal or Forge Kerberos Tickets,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
113,,T1558.002,Silver Ticket,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
114,,T1558.003,Kerberoasting,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
115,,T1558.004,AS-REP Roasting,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
116,,T1565,Data Manipulation,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
117,,T1565.001,Stored Data Manipulation,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
118,,T1565.002,Transmitted Data Manipulation,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
119,,T1602,Data from Configuration Repository,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
120,,T1602.001,SNMP (MIB Dump),[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
121,,T1602.002,Network Device Configuration Dump,[],Wireless Access,AC-18,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
122,,T1020.001,Traffic Duplication,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
123,,T1040,Network Sniffing,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
124,,T1070,Indicator Removal on Host,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
125,,T1070.001,Clear Windows Event Logs,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
126,,T1070.002,Clear Linux or Mac System Logs,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
127,,T1114,Email Collection,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
128,,T1114.001,Local Email Collection,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
129,,T1114.002,Remote Email Collection,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
130,,T1114.003,Email Forwarding Rule,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
131,,T1119,Automated Collection,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
132,,T1530,Data from Cloud Storage Object,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
133,,T1550.001,Application Access Token,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
134,,T1552,Unsecured Credentials,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
135,,T1552.004,Private Keys,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
136,,T1557,Man-in-the-Middle,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
137,,T1557.002,ARP Cache Poisoning,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
138,,T1558,Steal or Forge Kerberos Tickets,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
139,,T1558.002,Silver Ticket,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
140,,T1558.003,Kerberoasting,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
141,,T1558.004,AS-REP Roasting,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
142,,T1565,Data Manipulation,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
143,,T1565.001,Stored Data Manipulation,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
144,,T1565.002,Transmitted Data Manipulation,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
145,,T1602,Data from Configuration Repository,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
146,,T1602.001,SNMP (MIB Dump),[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
147,,T1602.002,Network Device Configuration Dump,[],Access Control For Mobile Devices,AC-19,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
148,,T1003,OS Credential Dumping,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
149,,T1003.001,LSASS Memory,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
150,,T1003.002,Security Account Manager,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
151,,T1003.003,NTDS,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
152,,T1003.004,LSA Secrets,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
153,,T1003.005,Cached Domain Credentials,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
154,,T1003.006,DCSync,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
155,,T1003.007,Proc Filesystem,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
156,,T1003.008,/etc/passwd and /etc/shadow,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
157,,T1021,Remote Services,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
158,,T1021.001,Remote Desktop Protocol,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
159,,T1021.002,SMB/Windows Admin Shares,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
160,,T1021.003,Distributed Component Object Model,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
161,,T1021.004,SSH,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
162,,T1021.005,VNC,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
163,,T1021.006,Windows Remote Management,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
164,,T1036,Masquerading,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
165,,T1036.003,Rename System Utilities,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
166,,T1036.005,Match Legitimate Name or Location,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
167,,T1047,Windows Management Instrumentation,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
168,,T1053,Scheduled Task/Job,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
169,,T1053.001,At (Linux),[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
170,,T1053.002,At (Windows),[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
171,,T1053.003,Cron,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
172,,T1053.004,Launchd,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
173,,T1053.005,Scheduled Task,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
174,,T1053.006,Systemd Timers,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
175,,T1055,Process Injection,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
176,,T1055.008,Ptrace System Calls,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
177,,T1056.003,Web Portal Capture,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
178,,T1059,Command and Scripting Interpreter,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
179,,T1059.001,PowerShell,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
180,,T1059.008,Network Device CLI,[],Account Management,AC-2,mitigates,Access Control,,02/03/2021,10/27/2021,8.2,enterprise,nist_800_53,r4
