,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,group,status,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
33,,T1041,Exfiltration Over C2 Channel,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
34,,T1048,Exfiltration Over Alternative Protocol,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
35,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
36,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
37,,T1052,Exfiltration Over Physical Medium,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
38,,T1052.001,Exfiltration over USB,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
39,,T1070.002,Clear Linux or Mac System Logs,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
40,,T1114,Email Collection,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
41,,T1114.001,Local Email Collection,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
42,,T1114.002,Remote Email Collection,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
43,,T1114.003,Email Forwarding Rule,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
44,,T1213,Data from Information Repositories,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
45,,T1213.001,Confluence,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
46,,T1213.002,Sharepoint,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
47,,T1222.001,Windows File and Directory Permissions Modification,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
48,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
49,,T1505.002,Transport Agent,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
50,,T1548,Abuse Elevation Control Mechanism,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
51,,T1552,Unsecured Credentials,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
52,,T1552.004,Private Keys,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
53,,T1557.002,ARP Cache Poisoning,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
54,,T1558.002,Silver Ticket,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
55,,T1558.004,AS-REP Roasting,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
56,,T1564.004,NTFS File Attributes,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
57,,T1602,Data from Configuration Repository,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
58,,T1602.001,SNMP (MIB Dump),[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
59,,T1003.003,NTDS,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
60,,T1005,Data from Local System,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
61,,T1040,Network Sniffing,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
62,,T1119,Automated Collection,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
63,,T1530,Data from Cloud Storage Object,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
64,,T1557,Adversary-in-the-Middle,[],Security and Privacy Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
65,,T1070.008,Clear Mailbox Data,[],Security Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
66,,T1647,Plist File Modification,[],Security Attributes,AC-16,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
67,,T1020.001,Traffic Duplication,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
68,,T1021.001,Remote Desktop Protocol,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
69,,T1047,Windows Management Instrumentation,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
70,,T1059,Command and Scripting Interpreter,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
71,,T1059.001,PowerShell,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
72,,T1059.002,AppleScript,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
73,,T1059.005,Visual Basic,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
74,,T1059.008,Network Device CLI,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
75,,T1070,Indicator Removal on Host,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
76,,T1070.001,Clear Windows Event Logs,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
77,,T1219,Remote Access Software,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
78,,T1537,Transfer Data to Cloud Account,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
79,,T1543,Create or Modify System Process,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
80,,T1547.003,Time Providers,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
81,,T1547.004,Winlogon Helper DLL,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
82,,T1547.009,Shortcut Modification,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
83,,T1550.001,Application Access Token,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
84,,T1558,Steal or Forge Kerberos Tickets,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
85,,T1558.003,Kerberoasting,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
86,,T1565,Data Manipulation,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
87,,T1565.001,Stored Data Manipulation,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
88,,T1565.002,Transmitted Data Manipulation,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
89,,T1602.002,Network Device Configuration Dump,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
90,,T1609,Container Administration Command,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
91,,T1610,Deploy Container,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
92,,T1021,Remote Services,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
93,,T1021.002,SMB/Windows Admin Shares,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
94,,T1021.003,Distributed Component Object Model,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
95,,T1021.004,SSH,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
96,,T1021.005,VNC,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
97,,T1021.006,Windows Remote Management,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
98,,T1037,Boot or Logon Initialization Scripts,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
99,,T1037.001,Logon Script (Windows),[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
100,,T1059.003,Windows Command Shell,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
101,,T1059.004,Unix Shell,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
102,,T1059.006,Python,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
103,,T1059.007,JavaScript,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
104,,T1070.002,Clear Linux or Mac System Logs,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
105,,T1114,Email Collection,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
106,,T1114.001,Local Email Collection,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
107,,T1114.002,Remote Email Collection,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
108,,T1114.003,Email Forwarding Rule,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
109,,T1137,Office Application Startup,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
110,,T1137.002,Office Test,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
111,,T1213,Data from Information Repositories,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
112,,T1213.001,Confluence,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
113,,T1213.002,Sharepoint,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
114,,T1505.004,IIS Components,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
115,,T1547.012,Print Processors,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
116,,T1547.013,XDG Autostart Entries,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
117,,T1552,Unsecured Credentials,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
118,,T1552.002,Credentials in Registry,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
119,,T1552.004,Private Keys,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
120,,T1557.002,ARP Cache Poisoning,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
121,,T1558.002,Silver Ticket,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
122,,T1558.004,AS-REP Roasting,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
123,,T1563,Remote Service Session Hijacking,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
124,,T1563.001,SSH Hijacking,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
125,,T1563.002,RDP Hijacking,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
126,,T1602,Data from Configuration Repository,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
127,,T1602.001,SNMP (MIB Dump),[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
128,,T1612,Build Image on Host,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
129,,T1613,Container and Resource Discovery,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
130,,T1619,Cloud Storage Object Discovery,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
131,,T1040,Network Sniffing,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
132,,T1119,Automated Collection,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
133,,T1133,External Remote Services,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
134,,T1530,Data from Cloud Storage Object,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
135,,T1552.007,Container API,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
136,,T1557,Adversary-in-the-Middle,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
137,,T1070.008,Clear Mailbox Data,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
138,,T1505.005,Terminal Services DLL,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
139,,T1647,Plist File Modification,[],Remote Access,AC-17,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
140,,T1011,Exfiltration Over Other Network Medium,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
141,,T1011.001,Exfiltration Over Bluetooth,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
142,,T1020.001,Traffic Duplication,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
143,,T1070,Indicator Removal on Host,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
144,,T1070.001,Clear Windows Event Logs,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
145,,T1558,Steal or Forge Kerberos Tickets,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
146,,T1558.003,Kerberoasting,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
147,,T1565,Data Manipulation,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
148,,T1565.001,Stored Data Manipulation,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
149,,T1565.002,Transmitted Data Manipulation,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
150,,T1602.002,Network Device Configuration Dump,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
151,,T1070.002,Clear Linux or Mac System Logs,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
152,,T1552,Unsecured Credentials,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
153,,T1552.004,Private Keys,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
154,,T1557.002,ARP Cache Poisoning,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
155,,T1558.002,Silver Ticket,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
156,,T1558.004,AS-REP Roasting,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
157,,T1602,Data from Configuration Repository,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
158,,T1602.001,SNMP (MIB Dump),[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
159,,T1040,Network Sniffing,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
160,,T1119,Automated Collection,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
161,,T1530,Data from Cloud Storage Object,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
162,,T1557,Adversary-in-the-Middle,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
163,,T1070.008,Clear Mailbox Data,[],Wireless Access,AC-18,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
164,,T1020.001,Traffic Duplication,[],Access Control for Mobile Devices,AC-19,mitigates,['Access Control'],complete,,01/13/2022,01/13/2022,12.1,enterprise,nist_800_53,rev5
