,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
27,,T1059.007,Command and Scripting Interpreter: JavaScript,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
28,,T1059.007,Command and Scripting Interpreter: JavaScript,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
29,,T1059.007,Command and Scripting Interpreter: JavaScript,[],[],,action.malware.vector.Email attachment,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
30,,T1059.008,Command and Scripting Interpreter: Network Device CLI,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
31,,T1059.008,Command and Scripting Interpreter: Network Device CLI,[],[],,action.hacking.vector.Command shell,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
32,,T1072,Software Deployment Tools,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
33,,T1072,Software Deployment Tools,[],[],,action.malware.variety.Adminware,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
34,,T1072,Software Deployment Tools,[],[],,action.malware.vector.Software update,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
35,,T1106,Native API,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
36,,T1112,Modify Registry,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
37,,T1127,Trusted Developer Utilities Proxy Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
38,,T1127,Trusted Developer Utilities Proxy Execution,[],[],,action.hacking.variety.Unknown,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
39,,T1127.001,Tursted Developer Utilities Proxy Execution: MSBuild,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
40,,T1127.001,Tursted Developer Utilities Proxy Execution: MSBuild,[],[],,action.hacking.variety.Unknown,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
41,,T1129,Shared Modules,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
42,,T1137,Office Application Startup,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
43,,T1137,Office Application Startup,[],[],,action.hacking.vector.Backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
44,,T1137.001,Office Application Startup: Office Template Macros,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
45,,T1137.002,Office Application Startup: Office Test,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
46,,T1137.003,Office Application Startup: Outlook Forms,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
47,,T1137.004,Office Application Startup: Outlook Home Page,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
48,,T1137.005,Office Application Startup: Outlook Rules,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
49,,T1187,Forced Authentication,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
50,,T1187,Forced Authentication,[],[],,action.hacking.variety.MitM,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
51,,T1202,Indirect Command Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
52,,T1216,Signed Script Proxy Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
53,,T1216.001,Signed Script Proxy Execution: PubPrn,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
54,,T1218,Signed Binary Proxy Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
55,,T1218.001,Signed Binary Proxy Execution: Compiled HTML File,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
56,,T1218.002,Signed Binary Proxy Execution: Control Panel,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
57,,T1218.003,Signed Binary Proxy Execution: CMSTP,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
58,,T1218.004,Signed Binary Proxy Execution: InstallUtil,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
59,,T1218.005,Signed Binary Proxy Execution: Mshta,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
60,,T1218.007,Signed Binary Proxy Execution: Msiexec,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
61,,T1218.008,Signed Binary Proxy Execution: Odbcconf,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
62,,T1218.009,Signed Binary Proxy Execution: Regsvcs/Regasm,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
63,,T1218.010,Signed Binary Proxy Execution: Regsvr32,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
64,,T1218.011,Signed Binary Proxy Execution: Rundll32,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
65,,T1218.012,Signed Binary Proxy Execution: Verclsid,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
66,,T1220,XSL Script Processing,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
67,,T1505.001,Server Software Component: SQL Stored Procedures,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
68,,T1505.001,Server Software Component: SQL Stored Procedures,[],[],,action.hacking.variety.Use of backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
69,,T1505.001,Server Software Component: SQL Stored Procedures,[],[],,action.hacking.vector.Backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
70,,T1505.001,Server Software Component: SQL Stored Procedures,[],[],,action.malware.variety.Backdoor,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
71,,T1505.002,Server Software Component: Transport Agent,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
72,,T1505.002,Server Software Component: Transport Agent,[],[],,action.hacking.variety.Use of backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
73,,T1505.002,Server Software Component: Transport Agent,[],[],,action.hacking.vector.Backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
74,,T1505.002,Server Software Component: Transport Agent,[],[],,action.malware.variety.Backdoor,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
75,,T1529,System Shutdown/Reboot,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
76,,T1543,Create or Modify System Process,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
77,,T1543,Create or Modify System Process,[],[],,action.hacking.variety.Use of backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
78,,T1543,Create or Modify System Process,[],[],,action.hacking.vector.Backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
79,,T1543,Create or Modify System Process,[],[],,action.malware.variety.Backdoor,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
80,,T1543,Create or Modify System Process,[],[],,action.malware.variety.Rootkit,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
81,,T1543.001,Create or Modify System Process: Launch Agent,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
82,,T1543.002,Create or Modify System Process: Systemd Service,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
83,,T1543.003,Create or Modify System Process: Windows Service,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
84,,T1543.003,Create or Modify System Process: Windows Service,[],[],,action.malware.variety.RAT,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
85,,T1543.004,Create or Modify System Process: Launch Daemon,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
86,,T1547,Boot or Logon Autostart Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
87,,T1547,Boot or Logon Autostart Execution,[],[],,action.hacking.vector.Backdoor or C2,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
88,,T1547,Boot or Logon Autostart Execution,[],[],,action.malware.variety.Backdoor,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
89,,T1547,Boot or Logon Autostart Execution,[],[],,attribute.integrity.variety.Modify configuration,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
90,,T1548,Abuse Elevation Control Mechanism,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
91,,T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
92,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
93,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],[],,action.hacking.variety.Exploit misconfig,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
94,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],[],,action.malware.variety.Exploit misconfig,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
95,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
96,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],[],,action.hacking.variety.Exploit misconfig,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
97,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],[],,action.malware.variety.Client-side attack,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
98,,T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
99,,T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,[],[],,action.hacking.variety.Exploit misconfig,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
100,,T1559,Inter-Process Communication,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
101,,T1559.001,Inter-Process Communication: Component Object Model,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
102,,T1559.002,Inter-Process Communication: Dynamic Data Exchange,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
103,,T1563,Remote Service Session Hijacking,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
104,,T1563,Remote Service Session Hijacking,[],[],,action.malware.vector.Network propagation,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
105,,T1563.001,Remote Service Session Hijacking: SSH Hijacking,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
106,,T1563.001,Remote Service Session Hijacking: SSH Hijacking,[],[],,action.malware.vector.Network propagation,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
107,,T1563.002,Remote Service Session Hijacking: RDP Hijacking,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
108,,T1563.002,Remote Service Session Hijacking: RDP Hijacking,[],[],,action.malware.vector.Network propagation,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
109,,T1564,Hide Artifacts,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
110,,T1564.001,Hide Artifacts: Hidden Files and Directories,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
111,,T1564.002,Hide Artifacts: Hidden Users,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
112,,T1564.003,Hide Artifacts: Hidden Window,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
113,,T1564.004,Hide Artifacts: NTFS File Attributes,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
114,,T1564.005,Hide Artifacts: Hidden File System,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
115,,T1564.006,Hide Artifacts: Run Virtual Instance,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
116,,T1564.007,Hide Artifacts: VBA Stomping,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
117,,T1564.007,Hide Artifacts: VBA Stomping,[],[],,action.malware.variety.Trojan,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
118,,T1569,System Services,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
119,,T1569.001,System Services: Launchctl,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
120,,T1569.002,System Services: Service Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
121,,T1569.002,System Services: Service Execution,[],[],,action.malware.vector.Direct install,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
122,,T1578,Modify Cloud Computer Infrastructure,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
123,,T1578,Modify Cloud Computer Infrastructure,[],[],,action.hacking.vector.Hypervisor,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
124,,T1578,Modify Cloud Computer Infrastructure,[],[],,action.hacking.vector.Inter-tenant,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
125,,T1578.001,Modify Cloud Computer Infrastructure: Create Snapshot,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
126,,T1578.002,Modify Cloud Computer Infrastructure: Create Cloud Instance,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
127,,T1578.003,Modify Cloud Computer Infrastructure: Delete Cloud Instance,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
128,,T1578.004,Modify Cloud Computer Infrastructure: Revert Cloud Instance,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
129,,T1609,Container Administration Command,[],[],,action.hacking.variety.Abuse of functionality,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
130,,T1110,Brute Force,[],[],,action.hacking.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
131,,T1110,Brute Force,[],[],,action.malware.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
132,,T1110.001,Brute Force: Password Guessing,[],[],,action.hacking.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
133,,T1110.001,Brute Force: Password Guessing,[],[],,action.malware.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
134,,T1110.002,Brute Force: Password Cracking,[],[],,action.hacking.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
135,,T1110.002,Brute Force: Password Cracking,[],[],,action.hacking.variety.Offline cracking,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
136,,T1110.002,Brute Force: Password Cracking,[],[],,action.malware.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
137,,T1110.003,Brute Force: Password Spraying,[],[],,action.hacking.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
138,,T1110.003,Brute Force: Password Spraying,[],[],,action.malware.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
139,,T1110.004,Brute Force: Credential Stuffing,[],[],,action.hacking.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
140,,T1110.004,Brute Force: Credential Stuffing,[],[],,action.malware.variety.Brute force,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
141,,T1203,Exploitation for Client Execution,[],[],,action.hacking.variety.Buffer overflow,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
142,,T1203,Exploitation for Client Execution,[],[],,action.hacking.variety.HTTP Response Splitting,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
143,,T1203,Exploitation for Client Execution,[],[],,action.hacking.variety.HTTP request smuggling,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
144,,T1203,Exploitation for Client Execution,[],[],,action.hacking.variety.HTTP request splitting,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
145,,T1203,Exploitation for Client Execution,[],[],,action.hacking.variety.HTTP response smuggling,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
146,,T1203,Exploitation for Client Execution,[],[],,action.malware.variety.Client-side attack,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
147,,T1203,Exploitation for Client Execution,[],[],,action.malware.vector.Email attachment,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
148,,T1600,Weaken Encryption,[],[],,action.hacking.variety.Cryptanalysis,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
149,,T1600,Weaken Encryption,[],[],,action.malware.variety.Disable controls,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
150,,T1498,Network Denial of Service,[],[],,action.hacking.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
151,,T1498,Network Denial of Service,[],[],,action.malware.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
152,,T1498.001,Network Denial of Service: Direct Network Flood,[],[],,action.hacking.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
153,,T1498.001,Network Denial of Service: Direct Network Flood,[],[],,action.malware.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
154,,T1498.002,Network Denial of Service: Reflection Amplification,[],[],,action.hacking.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
155,,T1498.002,Network Denial of Service: Reflection Amplification,[],[],,action.malware.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
156,,T1499,Endpoint Denial of Service,[],[],,action.hacking.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
157,,T1499,Endpoint Denial of Service,[],[],,action.hacking.variety.Soap array abuse,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
158,,T1499,Endpoint Denial of Service,[],[],,action.hacking.variety.XML attribute blowup,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
159,,T1499,Endpoint Denial of Service,[],[],,action.hacking.variety.XML entity expansion,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
160,,T1499,Endpoint Denial of Service,[],[],,action.hacking.variety.XML external entities,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
161,,T1499,Endpoint Denial of Service,[],[],,action.malware.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
162,,T1499.001,Endpoint Denial of Service: OS Exhaustion Flood,[],[],,action.hacking.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
163,,T1499.001,Endpoint Denial of Service: OS Exhaustion Flood,[],[],,action.malware.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
164,,T1499.002,Endpoint Denial of Service: Service Exhaustion Flood,[],[],,action.hacking.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
165,,T1499.002,Endpoint Denial of Service: Service Exhaustion Flood,[],[],,action.malware.variety.DoS,related-to,,02/03/2021,10/27/2021,9.0,enterprise,veris,1.3.5
