,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,status,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
10,"This control provides Minimal detection for one of this technique's sub-techniques while not providing any detection for the remaining, resulting in a Minimal score.",T1110,Brute Force,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']",Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,detect,minimal,,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
11,"Provides significant response capabilities for one of this technique's sub-techniques (Password Spray).  Due to this capability being specific to one of its sub-techniques and not its remaining sub-techniques, the coverage score is Minimal resulting in an overall Minimal score.",T1110,Brute Force,"['https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/howto-identity-protection-investigate-risk', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/overview-identity-protection', 'https://docs.microsoft.com/en-us/azure/active-directory/identity-protection/concept-identity-protection-risks', 'https://techcommunity.microsoft.com/t5/azure-active-directory-identity/azuread-identity-protection-adds-support-for-federated/ba-p/244328']",Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,respond,minimal,,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
12,This control specifically provides detection of Password Spray attacks for Azure Active Directory accounts.  Microsoft documentation states that this detection is based on a machine learning algorithm that has been improved with the latest improvement yielding a 100 percent increase in recall and  98 percent precision.  The temporal factor for this detection is Partial as its detection is described as offline (i.e. detections may not show up in reporting for two to twenty-four hours).,T1110.003,Password Spraying,[],Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,detect,partial,T1110,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
13,"Response Type:  Eradication
Supports blocking and resetting the user's credentials based on the detection of a risky user/sign-in (such as Password Spray attack) manually and also supports automation via its user and sign-in risk policies.",T1110.003,Password Spraying,[],Azure AD Identity Protection,Azure AD Identity Protection,technique_scores,respond,significant,T1110,Azure AD Identity Protection,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
14,This control is able to detect some of this technique's sub-techniques resulting in a Partial Coverage score and consequently an overall score of Partial. ,T1078,Valid Accounts,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
15,"This control may detect suspicious activity from existing Windows accounts and logons from suspicious IP addresses. The following alerts may be generated: ""A logon from a malicious IP has been detected"", ""A logon from a malicious IP has been detected.  [seen multiple times]"".",T1078.003,Local Accounts,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1078,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
16,"This control may detect suspicious activity from existing Windows accounts and logons from suspicious IP addresses. The following alerts may be generated: ""A logon from a malicious IP has been detected"", ""A logon from a malicious IP has been detected.  [seen multiple times]"".",T1078.001,Default Accounts,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1078,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
17,This control's detection is specific to a minority of this technique's sub-techniques resulting in a Minimal Coverage score and consequently an overall score of Minimal.,T1059,Command and Scripting Interpreter,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
18,"This control may detect suspicious usage of PowerShell and the Windows command line. These detections include usage of suspicious arguments, dynamic script construction, and shellcode on the commandline. The following alerts may be generated: ""Detected anomalous mix of upper and lower case characters in command-line"", ""Detected encoded executable in command line data"", ""Detected obfuscated command line"", ""Detected  suspicious combination of HTA and PowerShell"", ""Detected suspicious commandline arguments"", ""Detected suspicious commandline used to start all executables in a directory"", ""Detected suspicious credentials in commandline"", ""Dynamic PS script construction"", ""Suspicious  PowerShell Activity Detected"", ""Suspicious PowerShell cmdlets executed"", ""Suspicious command execution"".",T1059.001,PowerShell,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,significant,T1059,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
19,"This control may detect suspicious usage of PowerShell and the Windows command line. These detections include usage of suspicious arguments, dynamic script construction, and shellcode on the commandline. The following alerts may be generated: ""Detected anomalous mix of upper and lower case characters in command-line"", ""Detected encoded executable in command line data"", ""Detected obfuscated command line"", ""Detected  suspicious combination of HTA and PowerShell"", ""Detected suspicious commandline arguments"", ""Detected suspicious commandline used to start all executables in a directory"", ""Detected suspicious credentials in commandline"", ""Dynamic PS script construction"", ""Suspicious  PowerShell Activity Detected"", ""Suspicious PowerShell cmdlets executed"", ""Suspicious command execution"".",T1059.003,Windows Command Shell,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,significant,T1059,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
20,"This control provides detection for one of the two sub-techniques of this technique,  Malicious File, resulting in a Partial Coverage score and consequently an overall score of Partial.",T1204,User Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
21,"This control may detect the usage of a malware dropper and other indicators of a malicious file being executed by the user. The following alerts may be generated: ""Detected possible execution of keygen executable"", ""Detected possible execution of malware dropper"", ""Detected suspicious file creation"".",T1204.002,Malicious File,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1204,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
22,This control's detection is specific to a minority of this technique's sub-techniques resulting in a Minimal Coverage score and consequently an overall score of Minimal.,T1547,Boot or Logon Autostart Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
23,"This control may detect when the Registry is leveraged to gain persistence. The following alerts may be generated: ""Windows registry persistence method detected"".",T1547.001,Registry Run Keys / Startup Folder,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1547,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
24,This control's detection is specific to a minority of this technique's sub-techniques resulting in a Minimal Coverage score and consequently an overall score of Minimal.,T1136,Create Account,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
25,"This control may detect when an account is created with an account name that closely resembles a standard Windows account or group name. This may be an account created by an attacker to blend into the environment. The following alerts may be generated: ""Suspicious Account Creation Detected"".",T1136.001,Local Account,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1136,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
26,This control's detection is specific to a minority of this technique's sub-techniques resulting in a Minimal Coverage score and consequently an overall score of Minimal.,T1543,Create or Modify System Process,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
27,"This control may detect when the tscon.exe binary is installed as a service to exploit RDP sessions or when a rare service group is executed under SVCHOST. The following alerts may be generated: ""Suspect service installation"".",T1543.003,Windows Service,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1543,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
28,This control's detection is specific to a minority of this technique's sub-techniques resulting in a Minimal Coverage score and consequently an overall score of Minimal.,T1546,Event Triggered Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
29,"This control may detect when a suspicious screensaver process is executed, based on the location of the .scr file.  Because this detection is based solely on the location of the file, it has been scored as Partial. The following alerts may be generated: ""Suspicious Screensaver process executed"".",T1546.002,Screensaver,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1546,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
30,"This control may detect when the binary for the sticky keys utility has been replaced, possibly to gain persistence or execution. The following alerts may be generated: ""Sticky keys attack detected"".",T1546.008,Accessibility Features,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1546,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
31,The only sub-technique scored (Bypass User Account Control) is the only one relevant to Windows.,T1548,Abuse Elevation Control Mechanism,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
32,"This control may detect when User Account Control is bypassed by manipulating the Windows registry. There may be other methods to Bypass User Account Control which limits the score to Minimal. The following alerts may be generated: ""Detected change to a registry key that can be abused to bypass UAC""",T1548.002,Bypass User Account Control,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,T1548,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
33,This control's Fileless Attack Detection covers all relevant sub-techniques. Detection is periodic at an unknown rate.,T1055,Process Injection,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
34,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.001,Dynamic-link Library Injection,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1055,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
35,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.002,Portable Executable Injection,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1055,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
36,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.003,Thread Execution Hijacking,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1055,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
37,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.005,Thread Local Storage,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1055,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
38,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.004,Asynchronous Procedure Call,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1055,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
39,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.011,Extra Window Memory Injection,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1055,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
40,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.012,Process Hollowing,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1055,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
41,"Injection attacks are specifically cited as a detection focus for Fileless Attack Detection, which is part of this control, with even more specific references to Process Hollowing, executable image injection, and threads started in a dynamically allocated code segment. Detection is periodic at an unknown rate. The following  alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1055.013,Process Doppelgänging,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,T1055,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
42,"This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1203,Exploitation for Client Execution,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
43,"This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1212,Exploitation for Credential Access,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
44,"This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1211,Exploitation for Defense Evasion,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
45,"This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1068,Exploitation for Privilege Escalation,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
46,"This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1210,Exploitation of Remote Services,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
47,"This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1190,Exploit Public-Facing Application,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
48,"This control's Fileless Attack Detection identifies shellcode executing within process memory, including shellcode executed as a payload in the exploitation of a software vulnerability. Detection is periodic at an unknown rate. The following alerts may be generated: ""Fileless attack technique detected"", ""Fileless attack behavior detected"", ""Fileless  attack toolkit detected"", ""Suspicious SVCHOST process executed"".",T1189,Drive-by Compromise,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
49,"This control may detect decoding of suspicious files by certutil.exe and may detect the presence of various encoding schemes to obfuscate malicious scripts and commandline arguments. The following alerts may be generated: ""Suspicious download using Certutil detected"", ""Suspicious download using Certutil detected [seen multiple times]"", ""Detected decoding of an executable using built-in certutil.exe tool"".",T1140,Deobfuscate/Decode Files or Information,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,partial,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
50,This control provides minimal detection for some of this technique's sub-techniques resulting in an overall score of Minimal. ,T1222,File and Directory Permissions Modification,"['https://docs.microsoft.com/en-us/azure/security-center/defender-for-servers-introduction', 'https://docs.microsoft.com/en-us/azure/security-center/alerts-reference#alerts-windows']",Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
51,"This control may detect the usage of cacls.exe to modify file and directory permissions. The following alerts may be generated: ""Detected suspicious use of Cacls to lower the security state of the system"".",T1222.001,Windows File and Directory Permissions Modification,[],Alerts for Windows Machines,Alerts for Windows Machines,technique_scores,detect,minimal,T1222,Alerts for Windows Machines,complete,,06/29/2021,06/29/2021,8.2,enterprise,azure,06/29/2021
