,comments,attack-object-id,attack-object-name,references,tags,mapping-description,capability-id,mapping-type,score-category,score-value,related-score,metadata-key
33,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can provide protection against attempted manipulation of cloud accounts: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"". All of these controls are run periodically and provide partial coverage, since adversaries may be able to manipulate cloud credentials via other mechanisms, resulting in an overall score of Partial.",T1098.001,Additional Cloud Credentials,[],[],,AWS Config,technique-scores,Protect,Partial,T1098,2
34,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1110,Brute Force,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Significant,,2
35,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can significantly impede brute force authentication attempts by requiring adversaries to provide a second form of authentication even if they succeed in brute forcing a password via one of these sub-techniques: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"".
The ""iam-password-policy"" managed rule can identify insufficient password requirements that should be fixed in order to make brute force authentication more difficult by increasing the complexity of user passwords and decreasing the amount of time before they are rotated, giving adversaries less time to brute force passwords and making it more time consuming and resource intensive to do so. This is especially important in the case of Password Cracking, since adversaries in possession of password hashes may be able to recover usable credentials more quickly and do so without generating detectable noise via invalid login attempts.
All of these controls are run periodically, but implemented policies are enforced continuously once set and coverage factor is significant, resulting in an overall score of Significant.",T1110.001,Password Guessing,[],[],,AWS Config,technique-scores,Protect,Significant,T1110,2
36,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can significantly impede brute force authentication attempts by requiring adversaries to provide a second form of authentication even if they succeed in brute forcing a password via one of these sub-techniques: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"".
The ""iam-password-policy"" managed rule can identify insufficient password requirements that should be fixed in order to make brute force authentication more difficult by increasing the complexity of user passwords and decreasing the amount of time before they are rotated, giving adversaries less time to brute force passwords and making it more time consuming and resource intensive to do so. This is especially important in the case of Password Cracking, since adversaries in possession of password hashes may be able to recover usable credentials more quickly and do so without generating detectable noise via invalid login attempts.
All of these controls are run periodically, but implemented policies are enforced continuously once set and coverage factor is significant, resulting in an overall score of Significant.",T1110.002,Password Cracking,[],[],,AWS Config,technique-scores,Protect,Significant,T1110,2
37,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can significantly impede brute force authentication attempts by requiring adversaries to provide a second form of authentication even if they succeed in brute forcing a password via one of these sub-techniques: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"".
The ""iam-password-policy"" managed rule can identify insufficient password requirements that should be fixed in order to make brute force authentication more difficult by increasing the complexity of user passwords and decreasing the amount of time before they are rotated, giving adversaries less time to brute force passwords and making it more time consuming and resource intensive to do so. This is especially important in the case of Password Cracking, since adversaries in possession of password hashes may be able to recover usable credentials more quickly and do so without generating detectable noise via invalid login attempts.
All of these controls are run periodically, but implemented policies are enforced continuously once set and coverage factor is significant, resulting in an overall score of Significant.",T1110.003,Password Spraying,[],[],,AWS Config,technique-scores,Protect,Significant,T1110,2
38,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can significantly impede brute force authentication attempts by requiring adversaries to provide a second form of authentication even if they succeed in brute forcing a password via one of these sub-techniques: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"".
The ""iam-password-policy"" managed rule can identify insufficient password requirements that should be fixed in order to make brute force authentication more difficult by increasing the complexity of user passwords and decreasing the amount of time before they are rotated, giving adversaries less time to brute force passwords and making it more time consuming and resource intensive to do so. This is especially important in the case of Password Cracking, since adversaries in possession of password hashes may be able to recover usable credentials more quickly and do so without generating detectable noise via invalid login attempts.
All of these controls are run periodically, but implemented policies are enforced continuously once set and coverage factor is significant, resulting in an overall score of Significant.",T1110.004,Credential Stuffing,[],[],,AWS Config,technique-scores,Protect,Significant,T1110,2
39,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1119,Automated Collection,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Minimal,,2
40,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1136,Create Account,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Minimal,,2
41,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can provide significant protection against attempted manipulation of cloud accounts, including the creation of new ones: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"". All of these controls are run periodically and provide partial coverage, since adversaries may be able to create cloud credentials via other mechanisms, resulting in an overall score of Partial.",T1136.003,Cloud Account,[],[],,AWS Config,technique-scores,Protect,Partial,T1136,2
42,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1190,Exploit Public-Facing Application,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
43,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1203,Exploitation for Client Execution,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
44,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1210,Exploitation of Remote Services,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
45,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1211,Exploitation for Defense Evasion,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
46,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1212,Exploitation for Credential Access,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
47,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1204,User Execution,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Detect,Minimal,,2
48,"The following AWS Config managed rules can identify running instances that are not using AMIs within a specified allow list: ""approved-amis-by-id"" and ""approved-amis-by-tag"", both of which are run on configuration changes. They provide significant coverage, resulting in an overall score of Significant.",T1204.003,Malicious Image,[],[],,AWS Config,technique-scores,Detect,Significant,T1204,2
49,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1485,Data Destruction,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
50,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1486,Data Encrypted for Impact,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Partial,,2
51,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1491,Defacement,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Significant,,2
52,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to prevent malicious write access to data within Amazon Simple Storage Service (S3) storage, which may include internal and/or external defacement: ""s3-bucket-blacklisted-actions-prohibited"" checks whether bucket policies prohibit disallowed actions (including encryption configuration changes) for principals from other AWS accounts, ""s3-bucket-default-lock-enabled"" checks whether a bucket that should be locked in write-once-read-many (WORM) mode is configured to prevent modification, and ""s3-bucket-public-write-prohibited"" checks whether a bucket is configured to allow public access and modification. All of these controls are run on configuration changes.
The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure backups and redundancy are in place which can mitigate the effects of malicious defacement: ""aurora-mysql-backtracking-enabled"" for data in Aurora MySQL; ""db-instance-backup-enabled"" and ""rds-in-backup-plan"" for Amazon Relational Database Service (RDS) data; ""dynamodb-in-backup-plan"" and ""dynamodb-pitr-enabled"" for Amazon DynamoDB table contents; ""ebs-in-backup-plan"" for Elastic Block Store (EBS) volumes; ""efs-in-backup-plan"" for Amazon Elastic File System (EFS) file systems; ""elasticache-redis-cluster-automatic-backup-check"" for Amazon ElastiCache Redis cluster data; ""redshift-backup-enabled"" and ""redshift-cluster-maintenancesettings-check"" for Redshift; ""s3-bucket-replication-enabled"" and ""s3-bucket-versioning-enabled"" for S3 storage; and ""cloudfront-origin-failover-enabled"" for CloudFront.
Coverage factor is significant for these rules, since they cover a wide range of services used to host content for websites within AWS, resulting in an overall score of Significant.",T1491.001,Internal Defacement,[],[],,AWS Config,technique-scores,Protect,Significant,T1491,2
53,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to prevent malicious write access to data within Amazon Simple Storage Service (S3) storage, which may include internal and/or external defacement: ""s3-bucket-blacklisted-actions-prohibited"" checks whether bucket policies prohibit disallowed actions (including encryption configuration changes) for principals from other AWS accounts, ""s3-bucket-default-lock-enabled"" checks whether a bucket that should be locked in write-once-read-many (WORM) mode is configured to prevent modification, and ""s3-bucket-public-write-prohibited"" checks whether a bucket is configured to allow public access and modification. All of these controls are run on configuration changes.
The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure backups and redundancy are in place which can mitigate the effects of malicious defacement: ""aurora-mysql-backtracking-enabled"" for data in Aurora MySQL; ""db-instance-backup-enabled"" and ""rds-in-backup-plan"" for Amazon Relational Database Service (RDS) data; ""dynamodb-in-backup-plan"" and ""dynamodb-pitr-enabled"" for Amazon DynamoDB table contents; ""ebs-in-backup-plan"" for Elastic Block Store (EBS) volumes; ""efs-in-backup-plan"" for Amazon Elastic File System (EFS) file systems; ""elasticache-redis-cluster-automatic-backup-check"" for Amazon ElastiCache Redis cluster data; ""redshift-backup-enabled"" and ""redshift-cluster-maintenancesettings-check"" for Redshift; ""s3-bucket-replication-enabled"" and ""s3-bucket-versioning-enabled"" for S3 storage; and ""cloudfront-origin-failover-enabled"" for CloudFront.
Coverage factor is significant for these rules, since they cover a wide range of services used to host content for websites within AWS, resulting in an overall score of Significant.",T1491.002,External Defacement,[],[],,AWS Config,technique-scores,Protect,Significant,T1491,2
54,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1496,Resource Hijacking,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Detect,Partial,,2
55,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1498,Network Denial of Service,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Minimal,,2
56,"The ""elb-cross-zone-load-balancing-enabled"" managed rule can verify that load balancing is properly configured, which can mitigate adversaries' ability to perform Denial of Service (DoS) attacks and impact resource availability. ""cloudfront-origin-failover-enabled"" can verify that failover policies are in place to increase CloudFront content availability.
Coverage factor is minimal for these rules, since they are specific to a subset of the available AWS services, resulting in an overall score of Minimal.",T1498.001,Direct Network Flood,[],[],,AWS Config,technique-scores,Protect,Minimal,T1498,2
57,"The ""elb-cross-zone-load-balancing-enabled"" managed rule can verify that load balancing is properly configured, which can mitigate adversaries' ability to perform Denial of Service (DoS) attacks and impact resource availability. ""cloudfront-origin-failover-enabled"" can verify that failover policies are in place to increase CloudFront content availability.
Coverage factor is minimal for these rules, since they are specific to a subset of the available AWS services, resulting in an overall score of Minimal.",T1498.002,Reflection Amplification,[],[],,AWS Config,technique-scores,Protect,Minimal,T1498,2
58,"Mappings are based on the set of AWS managed rules provided by AWS Config, which are predefined rules that AWS Config uses to test for compliance with common best practices.
AWS Config rules can be set to one of two types, ""configuration changes"" and ""periodic"", which are evaluated upon configuration changes and at a user-defined period, respectively.",T1499,Endpoint Denial of Service,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",[],,AWS Config,technique-scores,Protect,Minimal,,2
59,"The ""elb-cross-zone-load-balancing-enabled"" managed rule can verify that load balancing is properly configured, which can mitigate adversaries' ability to perform Denial of Service (DoS) attacks and impact resource availability. ""cloudfront-origin-failover-enabled"" can verify that failover policies are in place to increase CloudFront content availability.
Coverage factor is minimal for these rules, since they are specific to a subset of the available AWS services, resulting in an overall score of Minimal.",T1499.001,OS Exhaustion Flood,[],[],,AWS Config,technique-scores,Protect,Minimal,T1499,2
