,comments,attack_object_id,attack_object_name,references,capability_description,capability_id,mapping_type,score_category,score_value,related_score,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version,mapping_framework_version_schema
10,AWS RDS supports the automatic patching of minor versions of database instances. This can result in security flaws in the database instances being fixed before they can be exploited. This mapping is given a score of Partial because it does not protect against misconfigured database instances which may be susceptible to exploitation.     ,T1210,Exploitation of Remote Services,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,protect,partial,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
11,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is compromised, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1210,Exploitation of Remote Services,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,respond,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
12,"AWS RDS provides deletion protection which prevents any user from deleting a database instance. If applied, the setting may mitigate attempts to delete a database instance. As a result, this mapping is given a score of Significant.",T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,protect,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
13,"AWS RDS generates events for database instances and includes the following events that may indicate that an adversary has destroyed the database instance.
RDS-EVENT-0003: The DB instance has been deleted RDS-EVENT-0041: A DB snapshot has been deleted
This mapping is given a score of Partial because it can't differentiate between an authorized and unauthorized deletion.
",T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,detect,partial,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
14,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is deleted, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1485,Data Destruction,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,respond,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
15,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is encrypted by an adversary (e.g., ransomware), AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1486,Data Encrypted for Impact,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,respond,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
16,"AWS RDS generates events for database instances and includes the following event that may indicate that an adversary has attempted to inhibit system recovery.
RDS-EVENT-0028: Automatic backups for this DB instance have been disabled
This mapping is given a score of Partial because it can't differentiate between an authorized and unauthorized disabling of automatic backups.
",T1490,Inhibit System Recovery,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,detect,partial,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
17,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is compromised and modified to disrupt recovery, AWS RDS can be used to restore the database instance to a previous point in time. As a result, this mapping is given a score of Significant.",T1490,Inhibit System Recovery,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,respond,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
18,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is deleted during a disk wipe, AWS RDS can be used to restore the database instance to a previous point in time. However, this mapping is only given a score of Minimal because AWS RDS only provides a backup of the database instance and not the underlying system that it is hosted on.",T1561,Disk Wipe,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,respond,minimal,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
19,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is deleted during a disk wipe, AWS RDS can be used to restore the database instance to a previous point in time. However, this mapping is only given a score of Partial because AWS RDS only provides a backup of the database instance and not the underlying system that it is hosted on.",T1561.001,Disk Content Wipe,[],AWS RDS,AWS RDS,technique_scores,respond,minimal,T1561,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
20,"AWS RDS supports the replication and recovery of database instances. In the event that a database instance is deleted during a disk wipe, AWS RDS can be used to restore the database instance to a previous point in time. However, this mapping is only given a score of Partial because AWS RDS only provides a backup of the database instance and not the underlying system that it is hosted on.",T1561.002,Disk Structure Wipe,[],AWS RDS,AWS RDS,technique_scores,respond,minimal,T1561,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
21,"AWS RDS supports the encryption of the underlying storage for database instances, backups, read replicas, and snapshots using the AES-256 encryption algorithm. This can protect against an adversary from gaining access to a database instance in the event they get access to the underlying system where the database instance is hosted or to S3 where the backups are stored. Furthermore, with AWS RDS, there is a setting that specifies whether or not a database instances is publicly accessible. When public accessibility is turned off, the database instance will not be available outside the VPC in which it was created. As a result, this mapping is given a score of Significant.",T1530,Data from Cloud Storage Object,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,protect,significant,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
22,"AWS RDS generates events for database instances and includes the following events that may indicate that an adversary has shutdown or rebooted the database instance. 
RDS-EVENT-0006: The DB instance restarted, RDS-EVENT-0004: The DB instance shutdown, RDS-EVENT-0022: An error has occurred while restarting MySQL or MariaDB
This mapping is given a score of Partial because it can't differentiate between an authorized and unauthorized shutdown/reboot.",T1529,System Shutdown/Reboot,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,detect,partial,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
23,"AWS RDS generates events for database instances and includes the following event that may indicate that an adversary has attempted to stop a database instance.
RDS-EVENT-0087: The DB instance has been stopped
This mapping is given a score of Partial because it can't differentiate between an authorized and unauthorized stopping of the database instance.
",T1489,Service Stop,['https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html'],AWS RDS,AWS RDS,technique_scores,detect,partial,,AWS RDS,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
24,"This control provides partial coverage for this technique's only sub-technique, but without specific coverage for its procedures, resulting in an overall score of Minimal.",T1020,Automated Exfiltration,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,minimal,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
25,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure SSL/TLS encryption is enabled to protect network traffic: ""acm-certificate-expiration-check"" for nearly expired certificates in AWS Certificate Manager (ACM); ""alb-http-to-https-redirection-check"" for Application Load Balancer (ALB) HTTP listeners; ""api-gw-ssl-enabled"" for API Gateway REST API stages; ""cloudfront-custom-ssl-certificate"", ""cloudfront-sni-enabled"", and ""cloudfront-viewer-policy-https"", for Amazon CloudFront distributions; ""elb-acm-certificate-required"", ""elb-custom-security-policy-ssl-check"", ""elb-predefined-security-policy-ssl-check"", and ""elb-tls-https-listeners-only"" for Elastic Load Balancing (ELB) Classic Load Balancer listeners; ""redshift-require-tls-ssl"" for Amazon Redshift cluster connections to SQL clients; ""s3-bucket-ssl-requests-only"" for requests for S3 bucket contents; and ""elasticsearch-node-to-node-encryption-check"" for Amazon ElasticSearch Service node-to-node communications.
All of these are run on configuration changes except ""alb-http-to-https-redirection-check"", which is run periodically. Coverage factor is partial for these rules, since they are specific to a subset of the available AWS services and can only mitigate behavior for adversaries who are unable to decrypt the relevant traffic, resulting in an overall score of Partial.",T1020.001,Traffic Duplication,[],AWS Config,AWS Config,technique_scores,protect,partial,T1020,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
26,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure SSL/TLS encryption is enabled to protect network traffic: ""acm-certificate-expiration-check"" for nearly expired certificates in AWS Certificate Manager (ACM); ""alb-http-to-https-redirection-check"" for Application Load Balancer (ALB) HTTP listeners; ""api-gw-ssl-enabled"" for API Gateway REST API stages; ""cloudfront-custom-ssl-certificate"", ""cloudfront-sni-enabled"", and ""cloudfront-viewer-policy-https"", for Amazon CloudFront distributions; ""elb-acm-certificate-required"", ""elb-custom-security-policy-ssl-check"", ""elb-predefined-security-policy-ssl-check"", and ""elb-tls-https-listeners-only"" for Elastic Load Balancing (ELB) Classic Load Balancer listeners; ""redshift-require-tls-ssl"" for Amazon Redshift cluster connections to SQL clients; ""s3-bucket-ssl-requests-only"" for requests for S3 bucket contents; and ""elasticsearch-node-to-node-encryption-check"" for Amazon ElasticSearch Service node-to-node communications.
The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure that private traffic is routed securely and only within VPCs rather than on the public Internet: ""api-gw-endpoint-type-check"" for Amazon API Gateway APIs, ""elasticsearch-in-vpc-only"" for Amazon ElasticSearch Service domains, and ""redshift-enhanced-vpc-routing-enabled"" for Amazon Redshift cluster traffic.
All of these are run on configuration changes except ""alb-http-to-https-redirection-check"" and ""elasticsearch-in-vpc-only"", which are run periodically. Coverage factor is partial for these rules, since they are specific to a subset of the available AWS services and can only mitigate behavior for adversaries who are unable to decrypt the relevant traffic and/or do not have access to traffic within the relevant VPCs, resulting in an overall score of Partial.",T1040,Network Sniffing,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,partial,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
27,"This control provides partial coverage for one of this technique's sub-techniques, resulting in an overall score of Minimal.",T1053,Scheduled Task/Job,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,minimal,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
28,"The ""eks-endpoint-no-public-access"" managed rule can identify whether Amazon Elastic Kubernetes Service (Amazon EKS) endpoints are misconfigured to allow public endpoint access, which should be fixed in order to prevent malicious external access to the Kubernetes API server, including malicious attempts to create or modify orchestration jobs. It is run periodically and only provides partial coverage because it is specific to public access, resulting in an overall score of Partial.",T1053.007,Container Orchestration Job,[],AWS Config,AWS Config,technique_scores,protect,partial,T1053,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
29,"The ""ec2-managedinstance-applications-blacklisted"" managed rule verifies that a pre-defined list of applications are not installed on specified managed instances. It can be used to identify the presence of vulnerable applications (prompting removal before they can be exploited) and/or to identify the presence of allowed packages below a minimum version (prompting updates before they can be exploited). The ""ec2-managedinstance-platform-check"" managed rule verifies that managed instances are running desired platform types, including using a desired version (as opposed to an out-of-date one). Both can reduce instances' attack surface for adversary exploitation, including for privilege escalation.
The ""ecs-task-definition-user-for-host-mode-check"" managed rule can identify Amazon Elastic Container Service (ECS) task definitions for containers with host networking mode and 'privileged' or 'user' container definitions, which may enable adversaries to break out of containers and gain access to the underlying host, increasing their access and privileges.
All of these are run on configuration changes. Coverage factor is partial for these rules, since they are specific to a subset of the available AWS services and will only protect against certain forms of identifiable exploitation, resulting in an overall score of Partial.",T1068,Exploitation for Privilege Escalation,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,partial,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
30,"This control provides significant coverage for one of this technique's sub-techniques, resulting in an overall score of Minimal.",T1078,Valid Accounts,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,minimal,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
31,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can provide protection against attempted misuse of cloud accounts: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"". All of these controls are run periodically.
The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure that appropriate AWS Identity and Access Management (IAM) policies are in place to enforce fine-grained access policies and mitigate the impact of compromised valid accounts: ""iam-customer-policy-blocked-kms-actions"", ""iam-inline-policy-blocked-kms-actions"", ""iam-no-inline-policy-check"", ""iam-group-has-users-check"", ""iam-policy-blacklisted-check"", ""iam-policy-no-statements-with-admin-access"", ""iam-policy-no-statements-with-full-access"", ""iam-role-managed-policy-check"", ""iam-user-group-membership-check"", ""iam-user-no-policies-check"", and ""ec2-instance-profile-attached"" are run on configuration changes. ""iam-password-policy"", ""iam-policy-in-use"", ""iam-root-access-key-check"", ""iam-user-mfa-enabled"", ""iam-user-unused-credentials-check"", and ""mfa-enabled-for-iam-console-access"" are run periodically. The ""access-keys-rotated"" managed rule ensures that IAM access keys are rotated at an appropriate rate.
Given that these rules provide robust coverage for a variety of IAM configuration problems and most are evaluated on configuration changes, they result in an overall score of Significant.",T1078.004,Cloud Accounts,[],AWS Config,AWS Config,technique_scores,protect,significant,T1078,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
32,"This control provides significant coverage for one of this technique's sub-techniques, resulting in an overall score of Minimal.",T1098,Account Manipulation,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,minimal,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
33,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can provide protection against attempted manipulation of cloud accounts: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"". All of these controls are run periodically and provide partial coverage, since adversaries may be able to manipulate cloud credentials via other mechanisms, resulting in an overall score of Partial.",T1098.001,Additional Cloud Credentials,[],AWS Config,AWS Config,technique_scores,protect,partial,T1098,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
34,"This control provides significant coverage for all of this technique's sub-techniques, resulting in an overall score of Significant.",T1110,Brute Force,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,significant,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
35,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can significantly impede brute force authentication attempts by requiring adversaries to provide a second form of authentication even if they succeed in brute forcing a password via one of these sub-techniques: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"".
The ""iam-password-policy"" managed rule can identify insufficient password requirements that should be fixed in order to make brute force authentication more difficult by increasing the complexity of user passwords and decreasing the amount of time before they are rotated, giving adversaries less time to brute force passwords and making it more time consuming and resource intensive to do so. This is especially important in the case of Password Cracking, since adversaries in possession of password hashes may be able to recover usable credentials more quickly and do so without generating detectable noise via invalid login attempts.
All of these controls are run periodically, but implemented policies are enforced continuously once set and coverage factor is significant, resulting in an overall score of Significant.",T1110.001,Password Guessing,[],AWS Config,AWS Config,technique_scores,protect,significant,T1110,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
36,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can significantly impede brute force authentication attempts by requiring adversaries to provide a second form of authentication even if they succeed in brute forcing a password via one of these sub-techniques: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"".
The ""iam-password-policy"" managed rule can identify insufficient password requirements that should be fixed in order to make brute force authentication more difficult by increasing the complexity of user passwords and decreasing the amount of time before they are rotated, giving adversaries less time to brute force passwords and making it more time consuming and resource intensive to do so. This is especially important in the case of Password Cracking, since adversaries in possession of password hashes may be able to recover usable credentials more quickly and do so without generating detectable noise via invalid login attempts.
All of these controls are run periodically, but implemented policies are enforced continuously once set and coverage factor is significant, resulting in an overall score of Significant.",T1110.002,Password Cracking,[],AWS Config,AWS Config,technique_scores,protect,significant,T1110,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
37,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can significantly impede brute force authentication attempts by requiring adversaries to provide a second form of authentication even if they succeed in brute forcing a password via one of these sub-techniques: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"".
The ""iam-password-policy"" managed rule can identify insufficient password requirements that should be fixed in order to make brute force authentication more difficult by increasing the complexity of user passwords and decreasing the amount of time before they are rotated, giving adversaries less time to brute force passwords and making it more time consuming and resource intensive to do so. This is especially important in the case of Password Cracking, since adversaries in possession of password hashes may be able to recover usable credentials more quickly and do so without generating detectable noise via invalid login attempts.
All of these controls are run periodically, but implemented policies are enforced continuously once set and coverage factor is significant, resulting in an overall score of Significant.",T1110.003,Password Spraying,[],AWS Config,AWS Config,technique_scores,protect,significant,T1110,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
38,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can significantly impede brute force authentication attempts by requiring adversaries to provide a second form of authentication even if they succeed in brute forcing a password via one of these sub-techniques: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"".
The ""iam-password-policy"" managed rule can identify insufficient password requirements that should be fixed in order to make brute force authentication more difficult by increasing the complexity of user passwords and decreasing the amount of time before they are rotated, giving adversaries less time to brute force passwords and making it more time consuming and resource intensive to do so. This is especially important in the case of Password Cracking, since adversaries in possession of password hashes may be able to recover usable credentials more quickly and do so without generating detectable noise via invalid login attempts.
All of these controls are run periodically, but implemented policies are enforced continuously once set and coverage factor is significant, resulting in an overall score of Significant.",T1110.004,Credential Stuffing,[],AWS Config,AWS Config,technique_scores,protect,significant,T1110,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
39,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure that storage volumes are encrypted, which may mitigate adversary attempts to automate collection within cloud environments: ""ec2-ebs-encryption-by-default"" which is run periodically and ""encrypted-volumes"" which is run on configuration changes.
Coverage factor is minimal for these rules, since they are specific to EBS volumes and will only prevent certain forms of collection since adversaries with access to mounted volumes may be able to decrypt their contents, resulting in an overall score of Minimal.",T1119,Automated Collection,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,minimal,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
40,"This control provides partial coverage for one of this technique's sub-techniques, resulting in an overall score of Minimal.",T1136,Create Account,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,minimal,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
41,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure multi-factor authentication (MFA) is enabled properly, which can provide significant protection against attempted manipulation of cloud accounts, including the creation of new ones: ""iam-user-mfa-enabled"", ""mfa-enabled-for-iam-console-access"", ""root-account-hardware-mfa-enabled"", and ""root-account-mfa-enabled"". All of these controls are run periodically and provide partial coverage, since adversaries may be able to create cloud credentials via other mechanisms, resulting in an overall score of Partial.",T1136.003,Cloud Account,[],AWS Config,AWS Config,technique_scores,protect,partial,T1136,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
42,"The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure that applications intended for internal use cannot be accessed externally for exploitation: ""api-gw-endpoint-type-check"" can ensure that Amazon API Gateway APIs are private and can only be accessed from within VPCs, ""elasticsearch-in-vpc-only"" can ensure that Amazon ElasticSearch Service (Amazon ES) domains are in the same VPC and the domain endpoint is not public, ""lambda-function-public-access-prohibited"" can verify that AWS Lambda functions are not publicly available, and ""ec2-instance-no-public-ip"" can verify whether EC2 instances have public IP addresses.
The following AWS Config managed rules can identify configuration problems that should be fixed in order to ensure that insecure applications are not installed and installed packages are kept updated, reducing the likelihood of adversary exploitation: the ""ec2-managedinstance-applications-blacklisted"" managed rule verifies that a pre-defined list of applications are not installed on specified managed instances. It can be used to identify the presence of vulnerable applications (prompting removal before they can be exploited) and/or to identify the presence of allowed packages below a minimum version (prompting updates before they can be exploited). The ""ec2-managedinstance-platform-check"" managed rule verifies that managed instances are running desired platform types, including using a desired version (as opposed to an out-of-date one). Both can reduce instances' attack surface for adversary exploitation. ""rds-automatic-minor-version-upgrade-enabled"" can verify that Amazon RDS is being patched, and ""elastic-beanstalk-managed-updates-enabled"" can verify that Elastic Beanstalk is being patched.
Coverage factor is partial for these rules, since they are specific to a subset of the available AWS services that can be used to host public-facing applications and will only protect against certain forms of identifiable exploitation, resulting in an overall score of Partial.",T1190,Exploit Public-Facing Application,"['https://docs.aws.amazon.com/config', 'https://docs.aws.amazon.com/config/latest/developerguide', 'https://docs.aws.amazon.com/config/latest/developerguide/managed-rules-by-aws-config.html']",AWS Config,AWS Config,technique_scores,protect,partial,,AWS Config,,09/21/2021,09/21/2021,9,enterprise,aws,21.09.21,ACCESS_DATE
