,comments,attack_object_id,attack_object_name,references,tags,mapping_description,capability_id,mapping_type,metadata_key
27,,T1114.001,Local Email Collection,[],[],,AC-16,mitigates,0
28,,T1114.002,Remote Email Collection,[],[],,AC-16,mitigates,0
29,,T1114.003,Email Forwarding Rule,[],[],,AC-16,mitigates,0
30,,T1119,Automated Collection,[],[],,AC-16,mitigates,0
31,,T1213,Data from Information Repositories,[],[],,AC-16,mitigates,0
32,,T1213.001,Confluence,[],[],,AC-16,mitigates,0
33,,T1213.002,Sharepoint,[],[],,AC-16,mitigates,0
34,,T1222,File and Directory Permissions Modification,[],[],,AC-16,mitigates,0
35,,T1222.001,Windows File and Directory Permissions Modification,[],[],,AC-16,mitigates,0
36,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,AC-16,mitigates,0
37,,T1505,Server Software Component,[],[],,AC-16,mitigates,0
38,,T1505.002,Transport Agent,[],[],,AC-16,mitigates,0
39,,T1530,Data from Cloud Storage Object,[],[],,AC-16,mitigates,0
40,,T1537,Transfer Data to Cloud Account,[],[],,AC-16,mitigates,0
41,,T1547.007,Re-opened Applications,[],[],,AC-16,mitigates,0
42,,T1547.011,Plist Modification,[],[],,AC-16,mitigates,0
43,,T1548,Abuse Elevation Control Mechanism,[],[],,AC-16,mitigates,0
44,,T1548.003,Sudo and Sudo Caching,[],[],,AC-16,mitigates,0
45,,T1550.001,Application Access Token,[],[],,AC-16,mitigates,0
46,,T1552,Unsecured Credentials,[],[],,AC-16,mitigates,0
47,,T1552.004,Private Keys,[],[],,AC-16,mitigates,0
48,,T1552.005,Cloud Instance Metadata API,[],[],,AC-16,mitigates,0
49,,T1557,Adversary-in-the-Middle,[],[],,AC-16,mitigates,0
50,,T1557.002,ARP Cache Poisoning,[],[],,AC-16,mitigates,0
51,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-16,mitigates,0
52,,T1558.002,Silver Ticket,[],[],,AC-16,mitigates,0
53,,T1558.003,Kerberoasting,[],[],,AC-16,mitigates,0
54,,T1558.004,AS-REP Roasting,[],[],,AC-16,mitigates,0
55,,T1564.004,NTFS File Attributes,[],[],,AC-16,mitigates,0
56,,T1565,Data Manipulation,[],[],,AC-16,mitigates,0
57,,T1565.001,Stored Data Manipulation,[],[],,AC-16,mitigates,0
58,,T1565.002,Transmitted Data Manipulation,[],[],,AC-16,mitigates,0
59,,T1567,Exfiltration Over Web Service,[],[],,AC-16,mitigates,0
60,,T1602,Data from Configuration Repository,[],[],,AC-16,mitigates,0
61,,T1602.001,SNMP (MIB Dump),[],[],,AC-16,mitigates,0
62,,T1602.002,Network Device Configuration Dump,[],[],,AC-16,mitigates,0
63,,T1020.001,Traffic Duplication,[],[],,AC-17,mitigates,0
64,,T1021,Remote Services,[],[],,AC-17,mitigates,0
65,,T1021.001,Remote Desktop Protocol,[],[],,AC-17,mitigates,0
66,,T1021.002,SMB/Windows Admin Shares,[],[],,AC-17,mitigates,0
67,,T1021.003,Distributed Component Object Model,[],[],,AC-17,mitigates,0
68,,T1021.004,SSH,[],[],,AC-17,mitigates,0
69,,T1021.005,VNC,[],[],,AC-17,mitigates,0
70,,T1021.006,Windows Remote Management,[],[],,AC-17,mitigates,0
71,,T1037,Boot or Logon Initialization Scripts,[],[],,AC-17,mitigates,0
72,,T1037.001,Logon Script (Windows),[],[],,AC-17,mitigates,0
73,,T1040,Network Sniffing,[],[],,AC-17,mitigates,0
74,,T1047,Windows Management Instrumentation,[],[],,AC-17,mitigates,0
75,,T1059,Command and Scripting Interpreter,[],[],,AC-17,mitigates,0
76,,T1059.001,PowerShell,[],[],,AC-17,mitigates,0
77,,T1059.002,AppleScript,[],[],,AC-17,mitigates,0
78,,T1059.003,Windows Command Shell,[],[],,AC-17,mitigates,0
79,,T1059.004,Unix Shell,[],[],,AC-17,mitigates,0
80,,T1059.005,Visual Basic,[],[],,AC-17,mitigates,0
81,,T1059.006,Python,[],[],,AC-17,mitigates,0
82,,T1059.007,JavaScript,[],[],,AC-17,mitigates,0
83,,T1059.008,Network Device CLI,[],[],,AC-17,mitigates,0
84,,T1070,Indicator Removal on Host,[],[],,AC-17,mitigates,0
85,,T1070.001,Clear Windows Event Logs,[],[],,AC-17,mitigates,0
86,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-17,mitigates,0
87,,T1114,Email Collection,[],[],,AC-17,mitigates,0
88,,T1114.001,Local Email Collection,[],[],,AC-17,mitigates,0
89,,T1114.002,Remote Email Collection,[],[],,AC-17,mitigates,0
90,,T1114.003,Email Forwarding Rule,[],[],,AC-17,mitigates,0
91,,T1119,Automated Collection,[],[],,AC-17,mitigates,0
92,,T1133,External Remote Services,[],[],,AC-17,mitigates,0
93,,T1137,Office Application Startup,[],[],,AC-17,mitigates,0
94,,T1137.002,Office Test,[],[],,AC-17,mitigates,0
95,,T1213,Data from Information Repositories,[],[],,AC-17,mitigates,0
96,,T1213.001,Confluence,[],[],,AC-17,mitigates,0
97,,T1213.002,Sharepoint,[],[],,AC-17,mitigates,0
98,,T1219,Remote Access Software,[],[],,AC-17,mitigates,0
99,,T1505.004,IIS Components,[],[],,AC-17,mitigates,0
100,,T1530,Data from Cloud Storage Object,[],[],,AC-17,mitigates,0
101,,T1537,Transfer Data to Cloud Account,[],[],,AC-17,mitigates,0
102,,T1543,Create or Modify System Process,[],[],,AC-17,mitigates,0
103,,T1543.003,Windows Service,[],[],,AC-17,mitigates,0
104,,T1543.004,Launch Daemon,[],[],,AC-17,mitigates,0
105,,T1547.003,Time Providers,[],[],,AC-17,mitigates,0
106,,T1547.004,Winlogon Helper DLL,[],[],,AC-17,mitigates,0
107,,T1547.009,Shortcut Modification,[],[],,AC-17,mitigates,0
108,,T1547.011,Plist Modification,[],[],,AC-17,mitigates,0
109,,T1547.012,Print Processors,[],[],,AC-17,mitigates,0
110,,T1547.013,XDG Autostart Entries,[],[],,AC-17,mitigates,0
111,,T1550.001,Application Access Token,[],[],,AC-17,mitigates,0
112,,T1552,Unsecured Credentials,[],[],,AC-17,mitigates,0
113,,T1552.002,Credentials in Registry,[],[],,AC-17,mitigates,0
114,,T1552.004,Private Keys,[],[],,AC-17,mitigates,0
115,,T1552.007,Container API,[],[],,AC-17,mitigates,0
116,,T1557,Adversary-in-the-Middle,[],[],,AC-17,mitigates,0
117,,T1557.002,ARP Cache Poisoning,[],[],,AC-17,mitigates,0
118,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-17,mitigates,0
119,,T1558.002,Silver Ticket,[],[],,AC-17,mitigates,0
120,,T1558.003,Kerberoasting,[],[],,AC-17,mitigates,0
121,,T1558.004,AS-REP Roasting,[],[],,AC-17,mitigates,0
122,,T1563,Remote Service Session Hijacking,[],[],,AC-17,mitigates,0
123,,T1563.001,SSH Hijacking,[],[],,AC-17,mitigates,0
124,,T1563.002,RDP Hijacking,[],[],,AC-17,mitigates,0
125,,T1565,Data Manipulation,[],[],,AC-17,mitigates,0
126,,T1565.001,Stored Data Manipulation,[],[],,AC-17,mitigates,0
127,,T1565.002,Transmitted Data Manipulation,[],[],,AC-17,mitigates,0
128,,T1602,Data from Configuration Repository,[],[],,AC-17,mitigates,0
129,,T1602.001,SNMP (MIB Dump),[],[],,AC-17,mitigates,0
130,,T1602.002,Network Device Configuration Dump,[],[],,AC-17,mitigates,0
131,,T1609,Container Administration Command,[],[],,AC-17,mitigates,0
132,,T1610,Deploy Container,[],[],,AC-17,mitigates,0
133,,T1612,Build Image on Host,[],[],,AC-17,mitigates,0
134,,T1613,Container and Resource Discovery,[],[],,AC-17,mitigates,0
135,,T1619,Cloud Storage Object Discovery,[],[],,AC-17,mitigates,0
136,,T1011,Exfiltration Over Other Network Medium,[],[],,AC-18,mitigates,0
137,,T1011.001,Exfiltration Over Bluetooth,[],[],,AC-18,mitigates,0
138,,T1020.001,Traffic Duplication,[],[],,AC-18,mitigates,0
139,,T1040,Network Sniffing,[],[],,AC-18,mitigates,0
140,,T1070,Indicator Removal on Host,[],[],,AC-18,mitigates,0
141,,T1070.001,Clear Windows Event Logs,[],[],,AC-18,mitigates,0
142,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-18,mitigates,0
143,,T1119,Automated Collection,[],[],,AC-18,mitigates,0
144,,T1530,Data from Cloud Storage Object,[],[],,AC-18,mitigates,0
145,,T1552,Unsecured Credentials,[],[],,AC-18,mitigates,0
146,,T1552.004,Private Keys,[],[],,AC-18,mitigates,0
147,,T1557,Adversary-in-the-Middle,[],[],,AC-18,mitigates,0
148,,T1557.002,ARP Cache Poisoning,[],[],,AC-18,mitigates,0
149,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-18,mitigates,0
150,,T1558.002,Silver Ticket,[],[],,AC-18,mitigates,0
151,,T1558.003,Kerberoasting,[],[],,AC-18,mitigates,0
152,,T1558.004,AS-REP Roasting,[],[],,AC-18,mitigates,0
153,,T1565,Data Manipulation,[],[],,AC-18,mitigates,0
154,,T1565.001,Stored Data Manipulation,[],[],,AC-18,mitigates,0
155,,T1565.002,Transmitted Data Manipulation,[],[],,AC-18,mitigates,0
156,,T1602,Data from Configuration Repository,[],[],,AC-18,mitigates,0
157,,T1602.001,SNMP (MIB Dump),[],[],,AC-18,mitigates,0
158,,T1602.002,Network Device Configuration Dump,[],[],,AC-18,mitigates,0
159,,T1020.001,Traffic Duplication,[],[],,AC-19,mitigates,0
160,,T1040,Network Sniffing,[],[],,AC-19,mitigates,0
161,,T1070,Indicator Removal on Host,[],[],,AC-19,mitigates,0
162,,T1070.001,Clear Windows Event Logs,[],[],,AC-19,mitigates,0
163,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-19,mitigates,0
164,,T1114,Email Collection,[],[],,AC-19,mitigates,0
165,,T1114.001,Local Email Collection,[],[],,AC-19,mitigates,0
166,,T1114.002,Remote Email Collection,[],[],,AC-19,mitigates,0
167,,T1114.003,Email Forwarding Rule,[],[],,AC-19,mitigates,0
168,,T1119,Automated Collection,[],[],,AC-19,mitigates,0
169,,T1530,Data from Cloud Storage Object,[],[],,AC-19,mitigates,0
170,,T1550.001,Application Access Token,[],[],,AC-19,mitigates,0
171,,T1552,Unsecured Credentials,[],[],,AC-19,mitigates,0
172,,T1552.004,Private Keys,[],[],,AC-19,mitigates,0
173,,T1557,Adversary-in-the-Middle,[],[],,AC-19,mitigates,0
174,,T1557.002,ARP Cache Poisoning,[],[],,AC-19,mitigates,0
175,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-19,mitigates,0
176,,T1558.002,Silver Ticket,[],[],,AC-19,mitigates,0
177,,T1558.003,Kerberoasting,[],[],,AC-19,mitigates,0
178,,T1558.004,AS-REP Roasting,[],[],,AC-19,mitigates,0
179,,T1565,Data Manipulation,[],[],,AC-19,mitigates,0
180,,T1565.001,Stored Data Manipulation,[],[],,AC-19,mitigates,0
181,,T1565.002,Transmitted Data Manipulation,[],[],,AC-19,mitigates,0
182,,T1602,Data from Configuration Repository,[],[],,AC-19,mitigates,0
183,,T1602.001,SNMP (MIB Dump),[],[],,AC-19,mitigates,0
184,,T1602.002,Network Device Configuration Dump,[],[],,AC-19,mitigates,0
185,,T1003,OS Credential Dumping,[],[],,AC-2,mitigates,0
186,,T1003.001,LSASS Memory,[],[],,AC-2,mitigates,0
187,,T1003.002,Security Account Manager,[],[],,AC-2,mitigates,0
188,,T1003.003,NTDS,[],[],,AC-2,mitigates,0
189,,T1003.004,LSA Secrets,[],[],,AC-2,mitigates,0
190,,T1003.005,Cached Domain Credentials,[],[],,AC-2,mitigates,0
191,,T1003.006,DCSync,[],[],,AC-2,mitigates,0
192,,T1003.007,Proc Filesystem,[],[],,AC-2,mitigates,0
193,,T1003.008,/etc/passwd and /etc/shadow,[],[],,AC-2,mitigates,0
194,,T1005,Data from Local System,[],[],,AC-2,mitigates,0
195,,T1021,Remote Services,[],[],,AC-2,mitigates,0
196,,T1021.001,Remote Desktop Protocol,[],[],,AC-2,mitigates,0
197,,T1021.002,SMB/Windows Admin Shares,[],[],,AC-2,mitigates,0
198,,T1021.003,Distributed Component Object Model,[],[],,AC-2,mitigates,0
199,,T1021.004,SSH,[],[],,AC-2,mitigates,0
200,,T1021.005,VNC,[],[],,AC-2,mitigates,0
201,,T1021.006,Windows Remote Management,[],[],,AC-2,mitigates,0
202,,T1025,Data from Removable Media,[],[],,AC-2,mitigates,0
203,,T1036,Masquerading,[],[],,AC-2,mitigates,0
204,,T1036.003,Rename System Utilities,[],[],,AC-2,mitigates,0
205,,T1036.005,Match Legitimate Name or Location,[],[],,AC-2,mitigates,0
206,,T1041,Exfiltration Over C2 Channel,[],[],,AC-2,mitigates,0
207,,T1047,Windows Management Instrumentation,[],[],,AC-2,mitigates,0
208,,T1048,Exfiltration Over Alternative Protocol,[],[],,AC-2,mitigates,0
209,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],[],,AC-2,mitigates,0
210,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],[],,AC-2,mitigates,0
211,,T1052,Exfiltration Over Physical Medium,[],[],,AC-2,mitigates,0
212,,T1052.001,Exfiltration over USB,[],[],,AC-2,mitigates,0
213,,T1053,Scheduled Task/Job,[],[],,AC-2,mitigates,0
214,,T1053.001,At (Linux),[],[],,AC-2,mitigates,0
215,,T1053.002,At (Windows),[],[],,AC-2,mitigates,0
216,,T1053.003,Cron,[],[],,AC-2,mitigates,0
217,,T1053.005,Scheduled Task,[],[],,AC-2,mitigates,0
218,,T1053.006,Systemd Timers,[],[],,AC-2,mitigates,0
219,,T1053.007,Container Orchestration Job,[],[],,AC-2,mitigates,0
220,,T1055,Process Injection,[],[],,AC-2,mitigates,0
221,,T1055.008,Ptrace System Calls,[],[],,AC-2,mitigates,0
222,,T1056.003,Web Portal Capture,[],[],,AC-2,mitigates,0
223,,T1059,Command and Scripting Interpreter,[],[],,AC-2,mitigates,0
224,,T1059.001,PowerShell,[],[],,AC-2,mitigates,0
225,,T1059.002,AppleScript,[],[],,AC-2,mitigates,0
226,,T1059.003,Windows Command Shell,[],[],,AC-2,mitigates,0
227,,T1059.004,Unix Shell,[],[],,AC-2,mitigates,0
228,,T1059.005,Visual Basic,[],[],,AC-2,mitigates,0
229,,T1059.006,Python,[],[],,AC-2,mitigates,0
230,,T1059.007,JavaScript,[],[],,AC-2,mitigates,0
231,,T1059.008,Network Device CLI,[],[],,AC-2,mitigates,0
232,,T1068,Exploitation for Privilege Escalation,[],[],,AC-2,mitigates,0
233,,T1070,Indicator Removal on Host,[],[],,AC-2,mitigates,0
234,,T1070.001,Clear Windows Event Logs,[],[],,AC-2,mitigates,0
235,,T1070.002,Clear Linux or Mac System Logs,[],[],,AC-2,mitigates,0
236,,T1070.003,Clear Command History,[],[],,AC-2,mitigates,0
237,,T1072,Software Deployment Tools,[],[],,AC-2,mitigates,0
238,,T1078,Valid Accounts,[],[],,AC-2,mitigates,0
239,,T1078.001,Default Accounts,[],[],,AC-2,mitigates,0
240,,T1078.002,Domain Accounts,[],[],,AC-2,mitigates,0
241,,T1078.003,Local Accounts,[],[],,AC-2,mitigates,0
242,,T1078.004,Cloud Accounts,[],[],,AC-2,mitigates,0
243,,T1087.004,Cloud Account,[],[],,AC-2,mitigates,0
244,,T1098,Account Manipulation,[],[],,AC-2,mitigates,0
245,,T1098.001,Additional Cloud Credentials,[],[],,AC-2,mitigates,0
246,,T1098.002,Exchange Email Delegate Permissions,[],[],,AC-2,mitigates,0
247,,T1098.003,Add Office 365 Global Administrator Role,[],[],,AC-2,mitigates,0
248,,T1110,Brute Force,[],[],,AC-2,mitigates,0
249,,T1110.001,Password Guessing,[],[],,AC-2,mitigates,0
250,,T1110.002,Password Cracking,[],[],,AC-2,mitigates,0
251,,T1110.003,Password Spraying,[],[],,AC-2,mitigates,0
252,,T1110.004,Credential Stuffing,[],[],,AC-2,mitigates,0
253,,T1134,Access Token Manipulation,[],[],,AC-2,mitigates,0
254,,T1134.001,Token Impersonation/Theft,[],[],,AC-2,mitigates,0
255,,T1134.002,Create Process with Token,[],[],,AC-2,mitigates,0
256,,T1134.003,Make and Impersonate Token,[],[],,AC-2,mitigates,0
257,,T1136,Create Account,[],[],,AC-2,mitigates,0
258,,T1136.001,Local Account,[],[],,AC-2,mitigates,0
259,,T1136.002,Domain Account,[],[],,AC-2,mitigates,0
260,,T1136.003,Cloud Account,[],[],,AC-2,mitigates,0
261,,T1185,Browser Session Hijacking,[],[],,AC-2,mitigates,0
262,,T1190,Exploit Public-Facing Application,[],[],,AC-2,mitigates,0
263,,T1197,BITS Jobs,[],[],,AC-2,mitigates,0
264,,T1210,Exploitation of Remote Services,[],[],,AC-2,mitigates,0
265,,T1212,Exploitation for Credential Access,[],[],,AC-2,mitigates,0
266,,T1213,Data from Information Repositories,[],[],,AC-2,mitigates,0
267,,T1213.001,Confluence,[],[],,AC-2,mitigates,0
268,,T1213.002,Sharepoint,[],[],,AC-2,mitigates,0
269,,T1213.003,Code Repositories,[],[],,AC-2,mitigates,0
270,,T1218,Signed Binary Proxy Execution,[],[],,AC-2,mitigates,0
271,,T1218.007,Msiexec,[],[],,AC-2,mitigates,0
272,,T1222,File and Directory Permissions Modification,[],[],,AC-2,mitigates,0
273,,T1222.001,Windows File and Directory Permissions Modification,[],[],,AC-2,mitigates,0
274,,T1222.002,Linux and Mac File and Directory Permissions Modification,[],[],,AC-2,mitigates,0
275,,T1484,Domain Policy Modification,[],[],,AC-2,mitigates,0
276,,T1489,Service Stop,[],[],,AC-2,mitigates,0
277,,T1495,Firmware Corruption,[],[],,AC-2,mitigates,0
278,,T1505,Server Software Component,[],[],,AC-2,mitigates,0
279,,T1505.002,Transport Agent,[],[],,AC-2,mitigates,0
280,,T1505.003,Web Shell,[],[],,AC-2,mitigates,0
281,,T1525,Implant Internal Image,[],[],,AC-2,mitigates,0
282,,T1528,Steal Application Access Token,[],[],,AC-2,mitigates,0
283,,T1530,Data from Cloud Storage Object,[],[],,AC-2,mitigates,0
284,,T1537,Transfer Data to Cloud Account,[],[],,AC-2,mitigates,0
285,,T1538,Cloud Service Dashboard,[],[],,AC-2,mitigates,0
286,,T1542,Pre-OS Boot,[],[],,AC-2,mitigates,0
287,,T1542.001,System Firmware,[],[],,AC-2,mitigates,0
288,,T1542.003,Bootkit,[],[],,AC-2,mitigates,0
289,,T1542.005,TFTP Boot,[],[],,AC-2,mitigates,0
290,,T1543,Create or Modify System Process,[],[],,AC-2,mitigates,0
291,,T1543.001,Launch Agent,[],[],,AC-2,mitigates,0
292,,T1543.002,Systemd Service,[],[],,AC-2,mitigates,0
293,,T1543.003,Windows Service,[],[],,AC-2,mitigates,0
294,,T1543.004,Launch Daemon,[],[],,AC-2,mitigates,0
295,,T1546.003,Windows Management Instrumentation Event Subscription,[],[],,AC-2,mitigates,0
296,,T1547.004,Winlogon Helper DLL,[],[],,AC-2,mitigates,0
297,,T1547.006,Kernel Modules and Extensions,[],[],,AC-2,mitigates,0
298,,T1547.009,Shortcut Modification,[],[],,AC-2,mitigates,0
299,,T1547.012,Print Processors,[],[],,AC-2,mitigates,0
300,,T1547.013,XDG Autostart Entries,[],[],,AC-2,mitigates,0
301,,T1548,Abuse Elevation Control Mechanism,[],[],,AC-2,mitigates,0
302,,T1548.002,Bypass User Account Control,[],[],,AC-2,mitigates,0
303,,T1548.003,Sudo and Sudo Caching,[],[],,AC-2,mitigates,0
304,,T1550,Use Alternate Authentication Material,[],[],,AC-2,mitigates,0
305,,T1550.002,Pass the Hash,[],[],,AC-2,mitigates,0
306,,T1550.003,Pass the Ticket,[],[],,AC-2,mitigates,0
307,,T1552,Unsecured Credentials,[],[],,AC-2,mitigates,0
308,,T1552.001,Credentials In Files,[],[],,AC-2,mitigates,0
309,,T1552.002,Credentials in Registry,[],[],,AC-2,mitigates,0
310,,T1552.004,Private Keys,[],[],,AC-2,mitigates,0
311,,T1552.006,Group Policy Preferences,[],[],,AC-2,mitigates,0
312,,T1552.007,Container API,[],[],,AC-2,mitigates,0
313,,T1553,Subvert Trust Controls,[],[],,AC-2,mitigates,0
314,,T1553.006,Code Signing Policy Modification,[],[],,AC-2,mitigates,0
315,,T1556,Modify Authentication Process,[],[],,AC-2,mitigates,0
316,,T1556.001,Domain Controller Authentication,[],[],,AC-2,mitigates,0
317,,T1556.003,Pluggable Authentication Modules,[],[],,AC-2,mitigates,0
318,,T1556.004,Network Device Authentication,[],[],,AC-2,mitigates,0
319,,T1558,Steal or Forge Kerberos Tickets,[],[],,AC-2,mitigates,0
320,,T1558.001,Golden Ticket,[],[],,AC-2,mitigates,0
321,,T1558.002,Silver Ticket,[],[],,AC-2,mitigates,0
322,,T1558.003,Kerberoasting,[],[],,AC-2,mitigates,0
323,,T1558.004,AS-REP Roasting,[],[],,AC-2,mitigates,0
324,,T1559,Inter-Process Communication,[],[],,AC-2,mitigates,0
325,,T1559.001,Component Object Model,[],[],,AC-2,mitigates,0
326,,T1562,Impair Defenses,[],[],,AC-2,mitigates,0
327,,T1562.001,Disable or Modify Tools,[],[],,AC-2,mitigates,0
328,,T1562.002,Disable Windows Event Logging,[],[],,AC-2,mitigates,0
329,,T1562.004,Disable or Modify System Firewall,[],[],,AC-2,mitigates,0
330,,T1562.006,Indicator Blocking,[],[],,AC-2,mitigates,0
331,,T1562.007,Disable or Modify Cloud Firewall,[],[],,AC-2,mitigates,0
332,,T1562.008,Disable Cloud Logs,[],[],,AC-2,mitigates,0
333,,T1562.009,Safe Mode Boot,[],[],,AC-2,mitigates,0
334,,T1563,Remote Service Session Hijacking,[],[],,AC-2,mitigates,0
335,,T1563.001,SSH Hijacking,[],[],,AC-2,mitigates,0
336,,T1563.002,RDP Hijacking,[],[],,AC-2,mitigates,0
337,,T1567,Exfiltration Over Web Service,[],[],,AC-2,mitigates,0
338,,T1569,System Services,[],[],,AC-2,mitigates,0
339,,T1569.001,Launchctl,[],[],,AC-2,mitigates,0
340,,T1569.002,Service Execution,[],[],,AC-2,mitigates,0
341,,T1574,Hijack Execution Flow,[],[],,AC-2,mitigates,0
342,,T1574.004,Dylib Hijacking,[],[],,AC-2,mitigates,0
343,,T1574.005,Executable Installer File Permissions Weakness,[],[],,AC-2,mitigates,0
344,,T1574.007,Path Interception by PATH Environment Variable,[],[],,AC-2,mitigates,0
345,,T1574.008,Path Interception by Search Order Hijacking,[],[],,AC-2,mitigates,0
346,,T1574.009,Path Interception by Unquoted Path,[],[],,AC-2,mitigates,0
347,,T1574.010,Services File Permissions Weakness,[],[],,AC-2,mitigates,0
348,,T1574.012,COR_PROFILER,[],[],,AC-2,mitigates,0
349,,T1578,Modify Cloud Compute Infrastructure,[],[],,AC-2,mitigates,0
350,,T1578.001,Create Snapshot,[],[],,AC-2,mitigates,0
351,,T1578.002,Create Cloud Instance,[],[],,AC-2,mitigates,0
352,,T1578.003,Delete Cloud Instance,[],[],,AC-2,mitigates,0
353,,T1580,Cloud Infrastructure Discovery,[],[],,AC-2,mitigates,0
354,,T1599,Network Boundary Bridging,[],[],,AC-2,mitigates,0
355,,T1599.001,Network Address Translation Traversal,[],[],,AC-2,mitigates,0
356,,T1601,Modify System Image,[],[],,AC-2,mitigates,0
357,,T1601.001,Patch System Image,[],[],,AC-2,mitigates,0
358,,T1601.002,Downgrade System Image,[],[],,AC-2,mitigates,0
359,,T1606,Forge Web Credentials,[],[],,AC-2,mitigates,0
360,,T1606.001,Web Cookies,[],[],,AC-2,mitigates,0
361,,T1606.002,SAML Tokens,[],[],,AC-2,mitigates,0
362,,T1609,Container Administration Command,[],[],,AC-2,mitigates,0
363,,T1610,Deploy Container,[],[],,AC-2,mitigates,0
364,,T1611,Escape to Host,[],[],,AC-2,mitigates,0
365,,T1612,Build Image on Host,[],[],,AC-2,mitigates,0
366,,T1613,Container and Resource Discovery,[],[],,AC-2,mitigates,0
367,,T1619,Cloud Storage Object Discovery,[],[],,AC-2,mitigates,0
368,,T1020.001,Traffic Duplication,[],[],,AC-20,mitigates,0
369,,T1021,Remote Services,[],[],,AC-20,mitigates,0
370,,T1021.001,Remote Desktop Protocol,[],[],,AC-20,mitigates,0
371,,T1021.004,SSH,[],[],,AC-20,mitigates,0
372,,T1041,Exfiltration Over C2 Channel,[],[],,AC-20,mitigates,0
373,,T1048,Exfiltration Over Alternative Protocol,[],[],,AC-20,mitigates,0
374,,T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,[],[],,AC-20,mitigates,0
375,,T1048.003,Exfiltration Over Unencrypted/Obfuscated Non-C2 Protocol,[],[],,AC-20,mitigates,0
376,,T1052,Exfiltration Over Physical Medium,[],[],,AC-20,mitigates,0
377,,T1052.001,Exfiltration over USB,[],[],,AC-20,mitigates,0
378,,T1053,Scheduled Task/Job,[],[],,AC-20,mitigates,0
379,,T1053.002,At (Windows),[],[],,AC-20,mitigates,0
380,,T1053.005,Scheduled Task,[],[],,AC-20,mitigates,0
381,,T1072,Software Deployment Tools,[],[],,AC-20,mitigates,0
382,,T1078.002,Domain Accounts,[],[],,AC-20,mitigates,0
383,,T1078.004,Cloud Accounts,[],[],,AC-20,mitigates,0
384,,T1098.001,Additional Cloud Credentials,[],[],,AC-20,mitigates,0
385,,T1098.002,Exchange Email Delegate Permissions,[],[],,AC-20,mitigates,0
386,,T1098.003,Add Office 365 Global Administrator Role,[],[],,AC-20,mitigates,0
387,,T1110,Brute Force,[],[],,AC-20,mitigates,0
388,,T1110.001,Password Guessing,[],[],,AC-20,mitigates,0
389,,T1110.002,Password Cracking,[],[],,AC-20,mitigates,0
390,,T1110.003,Password Spraying,[],[],,AC-20,mitigates,0
391,,T1110.004,Credential Stuffing,[],[],,AC-20,mitigates,0
