,comments,attack_object_id,attack_object_name,references,tags,capability_description,capability_id,mapping_type,group,organization,creation_date,last_update,attack_version,technology_domain,mapping_framework,mapping_framework_version
41,,T1127,Trusted Developer Utilities Proxy Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
42,,T1127,Trusted Developer Utilities Proxy Execution,[],[],,action.hacking.variety.Unknown,related-to,action.hacking.variety.Unknown,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
43,,T1127.001,Tursted Developer Utilities Proxy Execution: MSBuild,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
44,,T1127.001,Tursted Developer Utilities Proxy Execution: MSBuild,[],[],,action.hacking.variety.Unknown,related-to,action.hacking.variety.Unknown,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
45,,T1129,Shared Modules,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
46,,T1137,Office Application Startup,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
47,,T1137.001,Office Application Startup: Office Template Macros,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
48,,T1137.002,Office Application Startup: Office Test,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
49,,T1137.003,Office Application Startup: Outlook Forms,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
50,,T1137.004,Office Application Startup: Outlook Home Page,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
51,,T1137.005,Office Application Startup: Outlook Rules,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
52,,T1187,Forced Authentication,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
53,,T1187,Forced Authentication,[],[],,action.hacking.variety.MitM,related-to,action.hacking.variety.MitM,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
54,,T1187,Forced Authentication,[],[],,"attribute.confidentiality."""".data_disclosure",related-to,"attribute.confidentiality."""".data_disclosure",,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
55,,T1202,Indirect Command Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
56,,T1216,Signed Script Proxy Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
57,,T1216.001,Signed Script Proxy Execution: PubPrn,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
58,,T1218,Signed Binary Proxy Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
59,,T1218.001,Signed Binary Proxy Execution: Compiled HTML File,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
60,,T1218.002,Signed Binary Proxy Execution: Control Panel,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
61,,T1218.003,Signed Binary Proxy Execution: CMSTP,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
62,,T1218.004,Signed Binary Proxy Execution: InstallUtil,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
63,,T1218.005,Signed Binary Proxy Execution: Mshta,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
64,,T1218.007,Signed Binary Proxy Execution: Msiexec,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
65,,T1218.008,Signed Binary Proxy Execution: Odbcconf,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
66,,T1218.009,Signed Binary Proxy Execution: Regsvcs/Regasm,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
67,,T1218.010,Signed Binary Proxy Execution: Regsvr32,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
68,,T1218.011,Signed Binary Proxy Execution: Rundll32,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
69,,T1218.012,Signed Binary Proxy Execution: Verclsid,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
70,,T1218.013,System Binary Proxy Execution: Mavinject,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
71,,T1218.014,System Binary Proxy Execution: MMC,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
72,,T1220,XSL Script Processing,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
73,,T1505.001,Server Software Component: SQL Stored Procedures,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
74,,T1505.001,Server Software Component: SQL Stored Procedures,[],[],,action.malware.variety.Backdoor,related-to,action.malware.variety.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
75,,T1505.001,Server Software Component: SQL Stored Procedures,[],[],,action.malware.variety.Backdoor or C2,related-to,action.malware.variety.Backdoor or C2,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
76,,T1505.002,Server Software Component: Transport Agent,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
77,,T1505.002,Server Software Component: Transport Agent,[],[],,action.malware.variety.Backdoor,related-to,action.malware.variety.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
78,,T1505.002,Server Software Component: Transport Agent,[],[],,action.malware.variety.Backdoor or C2,related-to,action.malware.variety.Backdoor or C2,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
79,,T1529,System Shutdown/Reboot,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
80,,T1529,System Shutdown/Reboot,[],[],,attribute.availability.variety.Interruption,related-to,attribute.availability.variety.Interruption,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
81,,T1543,Create or Modify System Process,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
82,,T1543,Create or Modify System Process,[],[],,action.hacking.variety.Backdoor,related-to,action.hacking.variety.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
83,,T1543,Create or Modify System Process,[],[],,action.hacking.vector.Backdoor,related-to,action.hacking.vector.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
84,,T1543,Create or Modify System Process,[],[],,action.malware.variety.Backdoor,related-to,action.malware.variety.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
85,,T1543,Create or Modify System Process,[],[],,action.malware.variety.Backdoor or C2,related-to,action.malware.variety.Backdoor or C2,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
86,,T1543,Create or Modify System Process,[],[],,action.malware.variety.Rootkit,related-to,action.malware.variety.Rootkit,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
87,,T1543,Create or Modify System Process,[],[],,attribute.integrity.variety.Software installation,related-to,attribute.integrity.variety.Software installation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
88,,T1543.001,Create or Modify System Process: Launch Agent,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
89,,T1543.001,Create or Modify System Process: Launch Agent,[],[],,attribute.integrity.variety.Software installation,related-to,attribute.integrity.variety.Software installation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
90,,T1543.002,Create or Modify System Process: Systemd Service,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
91,,T1543.002,Create or Modify System Process: Systemd Service,[],[],,attribute.integrity.variety.Software installation,related-to,attribute.integrity.variety.Software installation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
92,,T1543.003,Create or Modify System Process: Windows Service,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
93,,T1543.003,Create or Modify System Process: Windows Service,[],[],,action.malware.variety.RAT,related-to,action.malware.variety.RAT,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
94,,T1543.003,Create or Modify System Process: Windows Service,[],[],,attribute.integrity.variety.Software installation,related-to,attribute.integrity.variety.Software installation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
95,,T1543.004,Create or Modify System Process: Launch Daemon,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
96,,T1543.004,Create or Modify System Process: Launch Daemon,[],[],,attribute.integrity.variety.Software installation,related-to,attribute.integrity.variety.Software installation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
97,,T1547,Boot or Logon Autostart Execution,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
98,,T1547,Boot or Logon Autostart Execution,[],[],,action.hacking.variety.Backdoor,related-to,action.hacking.variety.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
99,,T1547,Boot or Logon Autostart Execution,[],[],,action.hacking.vector.Backdoor,related-to,action.hacking.vector.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
100,,T1547,Boot or Logon Autostart Execution,[],[],,action.malware.variety.Backdoor,related-to,action.malware.variety.Backdoor,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
101,,T1547,Boot or Logon Autostart Execution,[],[],,action.malware.variety.Backdoor or C2,related-to,action.malware.variety.Backdoor or C2,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
102,,T1547,Boot or Logon Autostart Execution,[],[],,attribute.integrity.variety.Modify configuration,related-to,attribute.integrity.variety.Modify configuration,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
103,,T1548,Abuse Elevation Control Mechanism,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
104,,T1548.001,Abuse Elevation Control Mechanism: Setuid and Setgid,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
105,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
106,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],[],,action.hacking.variety.Exploit misconfig,related-to,action.hacking.variety.Exploit misconfig,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
107,,T1548.002,Abuse Elevation Control Mechanism: Bypass User Account Control,[],[],,action.malware.variety.Exploit misconfig,related-to,action.malware.variety.Exploit misconfig,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
108,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
109,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],[],,action.hacking.variety.Exploit misconfig,related-to,action.hacking.variety.Exploit misconfig,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
110,,T1548.003,Abuse Elevation Control Mechanism: Sudo and Sudo Caching,[],[],,action.malware.variety.Client-side attack,related-to,action.malware.variety.Client-side attack,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
111,,T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
112,,T1548.004,Abuse Elevation Control Mechanism: Elevated Execution with Prompt,[],[],,action.hacking.variety.Exploit misconfig,related-to,action.hacking.variety.Exploit misconfig,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
113,,T1559,Inter-Process Communication,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
114,,T1559.001,Inter-Process Communication: Component Object Model,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
115,,T1559.002,Inter-Process Communication: Dynamic Data Exchange,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
116,,T1563,Remote Service Session Hijacking,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
117,,T1563,Remote Service Session Hijacking,[],[],,action.hacking.variety.Hijack,related-to,action.hacking.variety.Hijack,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
118,,T1563,Remote Service Session Hijacking,[],[],,action.malware.vector.Network propagation,related-to,action.malware.vector.Network propagation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
119,,T1563.001,Remote Service Session Hijacking: SSH Hijacking,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
120,,T1563.001,Remote Service Session Hijacking: SSH Hijacking,[],[],,action.hacking.variety.Hijack,related-to,action.hacking.variety.Hijack,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
121,,T1563.001,Remote Service Session Hijacking: SSH Hijacking,[],[],,action.malware.vector.Network propagation,related-to,action.malware.vector.Network propagation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
122,,T1563.002,Remote Service Session Hijacking: RDP Hijacking,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
123,,T1563.002,Remote Service Session Hijacking: RDP Hijacking,[],[],,action.hacking.variety.Hijack,related-to,action.hacking.variety.Hijack,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
124,,T1563.002,Remote Service Session Hijacking: RDP Hijacking,[],[],,action.malware.vector.Network propagation,related-to,action.malware.vector.Network propagation,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
125,,T1564,Hide Artifacts,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
126,,T1564,Hide Artifacts,[],[],,action.hacking.variety.Evade Defenses,related-to,action.hacking.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
127,,T1564,Hide Artifacts,[],[],,action.malware.variety.Evade Defenses,related-to,action.malware.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
128,,T1564,Hide Artifacts,[],[],,action.social.variety.Evade Defenses,related-to,action.social.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
129,,T1564.001,Hide Artifacts: Hidden Files and Directories,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
130,,T1564.001,Hide Artifacts: Hidden Files and Directories,[],[],,action.hacking.variety.Evade Defenses,related-to,action.hacking.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
131,,T1564.001,Hide Artifacts: Hidden Files and Directories,[],[],,action.malware.variety.Evade Defenses,related-to,action.malware.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
132,,T1564.001,Hide Artifacts: Hidden Files and Directories,[],[],,action.social.variety.Evade Defenses,related-to,action.social.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
133,,T1564.002,Hide Artifacts: Hidden Users,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
134,,T1564.002,Hide Artifacts: Hidden Users,[],[],,action.hacking.variety.Evade Defenses,related-to,action.hacking.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
135,,T1564.002,Hide Artifacts: Hidden Users,[],[],,action.malware.variety.Evade Defenses,related-to,action.malware.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
136,,T1564.002,Hide Artifacts: Hidden Users,[],[],,action.social.variety.Evade Defenses,related-to,action.social.variety.Evade Defenses,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
137,,T1564.003,Hide Artifacts: Hidden Window,[],[],,action.hacking.variety.Abuse of functionality,related-to,action.hacking.variety.Abuse of functionality,,02/03/2021,10/27/2021,12.1,enterprise,veris,1.3.7
